#{"t_start": 1734957857.7099514, "env_id": "GraspEnv_v3"}
r,l,t
-1.333822,6,7.486084
-0.038935,3,7.492068
0.050554,5,7.502077
-10.879994,14,7.528805
-10.731783,14,7.601812
-3.421579,8,7.617852
-0.528832,4,7.626534
-1.289005,5,7.635523
-10.782266,14,7.659543
-8.573466,12,7.681541
-10.849133,14,7.704603
-6.107701,12,7.72718
-1.604276,3,7.73418
-7.380748,14,7.764179
-12.978007,14,7.840436
-2.469609,6,7.851441
-11.543116,14,7.876429
-8.246335,14,7.906473
-4.173433,9,7.923084
-13.344642,14,7.948074
-11.405794,14,7.972073
0.185399,2,7.977074
-11.897638,14,8.003109
-11.855317,14,8.027776
0.847991,1,8.066739
0.975511,1,8.07076
0.383163,2,8.076736
0.981547,1,8.080739
-11.842851,14,8.108856
-12.453867,14,8.135009
-3.851011,8,8.148998
-1.546177,7,8.162022
-1.889208,11,8.182016
-8.438639,10,8.200025
-8.316053,14,8.280259
-8.731588,12,8.306306
-7.851962,14,8.333458
-4.866801,10,8.352464
-9.370811,14,8.382429
-8.476662,14,8.410506
-2.593803,7,8.424819
-8.780944,14,8.452803
-1.298518,5,8.463786
-9.152536,14,8.490797
-4.039481,14,8.572501
-8.969727,14,8.599492
-8.840807,14,8.623153
-10.306799,14,8.649141
-5.19823,9,8.67018
-8.065071,14,8.697172
-2.130471,5,8.708209
0.561436,2,8.713196
-0.82286,6,8.728379
-4.70855,10,8.751378
-6.284951,8,8.821445
-1.996985,6,8.838146
-8.754104,14,8.869163
0.591495,5,8.88417
-1.614268,3,8.892165
-9.950754,14,8.920184
-13.976291,14,8.947823
-9.15539,14,8.97484
0.921113,1,8.977842
-8.171021,14,9.004857
0.287401,2,9.056534
1.709601,2,9.062537
0.01067,2,9.068527
-12.202584,14,9.097514
-11.560603,14,9.124241
-8.296751,14,9.152252
-10.653434,14,9.181273
-0.8363,3,9.188278
-10.648111,14,9.215313
-12.101414,14,9.240477
-4.937552,9,9.302439
-1.040909,5,9.314559
-0.345874,2,9.320592
-8.338853,14,9.348758
-0.691516,3,9.355741
-11.497298,14,9.382771
-0.160975,1,9.385738
-0.051781,2,9.391738
-5.796237,11,9.412791
-11.592341,14,9.43996
-12.602064,14,9.519017
0.947832,1,9.522024
0.0161,3,9.529135
-3.689915,8,9.545122
-10.132357,14,9.570131
-7.689548,14,9.594133
-8.494291,14,9.618163
-6.034915,9,9.634394
-6.227105,12,9.6554
-8.579103,14,9.680394
-8.591024,14,9.751654
0.937985,1,9.755618
-2.690668,4,9.76563
-6.164634,14,9.790606
-0.170149,1,9.793615
0.983189,1,9.796606
-9.644983,14,9.819716
0.933571,1,9.822695
-6.322819,10,9.842383
-8.618191,14,9.869346
-8.516276,14,9.949113
-13.181591,14,9.981108
-12.970255,14,10.008166
-8.958202,14,10.035161
-8.541284,14,10.06305
-12.885591,14,10.090042
-7.115578,14,10.122153
0.77186,2,10.126848
-5.64174,10,10.149854
-2.065066,5,10.159867
-13.484324,14,10.230511
-2.142675,9,10.250511
-0.975274,4,10.259531
-8.270247,14,10.287519
-12.907745,14,10.316562
-11.121571,14,10.348166
-10.518542,14,10.379171
-8.51837,12,10.405181
-4.970434,12,10.429417
0.358387,3,10.438408
-13.185924,14,10.51944
-11.295262,14,10.549067
-3.190212,8,10.565072
-11.513453,14,10.593068
-0.599246,6,10.607071
-8.400792,11,10.630785
1.567305,11,10.653818
-7.503303,14,10.680783
-1.198152,4,10.688786
-10.372114,14,10.71686
-10.18429,13,10.799997
0.898425,1,10.803017
-9.135647,14,10.830231
-9.239352,14,10.860221
-13.84842,14,10.891217
0.354295,2,10.896226
2.123172,5,10.909224
-0.288547,4,10.918327
-7.415168,10,10.93949
