#{"t_start": 1735094047.6079736, "env_id": "GraspEnv_v3"}
r,l,t
-8.95204,9,0.512431
0.987064,1,0.51389
-6.563757,9,0.517385
-4.980075,9,0.520852
-7.464621,9,0.524309
-6.560253,9,0.527793
-8.76455,9,0.531221
-3.944903,9,0.534668
-2.570688,9,0.538134
-6.495495,9,0.541633
0.87993,1,0.578907
-6.281176,9,0.582676
0.84505,1,0.58403
-8.988244,9,0.587558
0.849004,1,0.588739
-8.593208,9,0.592232
-8.928015,9,0.596362
-7.930239,9,0.600015
0.938404,1,0.601351
-2.507229,9,0.605013
-8.015987,9,0.638543
-4.449376,9,0.642101
-7.306016,9,0.645805
0.850547,1,0.647024
0.994217,1,0.648165
-4.382384,9,0.652098
-3.57669,9,0.655603
-7.278812,9,0.659065
-5.778765,9,0.662963
-8.338645,9,0.666556
-3.008226,9,0.696797
-6.669368,9,0.70051
-8.982223,9,0.704225
-4.6237,9,0.707701
-8.577652,9,0.7112
-2.786891,9,0.715115
0.663906,2,0.716663
0.873644,1,0.717921
-6.331165,9,0.721423
0.620276,2,0.722878
-5.727929,9,0.757285
-2.394887,9,0.760947
0.886119,1,0.762344
-1.967423,9,0.765896
-2.257151,9,0.769702
0.983689,1,0.770872
-8.947866,9,0.774726
-4.966413,9,0.778277
-8.00202,9,0.781969
0.889317,1,0.783212
-3.590565,9,0.815552
-5.415455,9,0.819501
-4.66565,9,0.822969
-3.7656,9,0.826735
-4.293937,9,0.830823
-2.877504,9,0.834746
-2.982121,9,0.838334
-2.574652,9,0.842155
0.961083,1,0.843349
0.880148,1,0.844546
-6.337971,9,0.879358
-7.573757,9,0.882917
0.933433,1,0.884084
0.935591,1,0.885312
-8.670437,9,0.888867
0.959416,1,0.890091
-3.708553,9,0.893819
-4.459795,9,0.897521
-6.488173,9,0.901187
-5.395041,9,0.904689
-1.475567,5,0.934087
-1.11501,8,0.937339
-8.635473,9,0.941303
-8.71675,9,0.944844
-4.001745,9,0.94842
0.827768,1,0.9496
-3.554819,9,0.953482
-5.561456,9,0.957186
-4.734141,9,0.96089
-3.946289,9,0.96454
0.949081,1,0.992918
-2.56825,9,0.996626
0.428928,3,0.998395
-8.874166,9,1.00228
-7.71901,9,1.005827
-6.664576,9,1.009736
-7.079976,9,1.013572
-3.338318,9,1.017162
-7.196562,9,1.020899
-8.738958,9,1.024827
-5.625523,9,1.054733
-5.749371,9,1.0586
-2.530224,9,1.062317
-5.79251,9,1.065912
-3.913012,9,1.069762
-8.937124,9,1.073399
-4.967167,9,1.077082
-8.744937,9,1.080827
-2.872734,9,1.084616
-6.087419,9,1.088207
-3.782958,9,1.120647
-2.343563,9,1.124482
-5.762464,9,1.128105
0.90509,1,1.129425
-7.564879,9,1.132873
-7.100641,9,1.136774
-5.298394,9,1.140303
-5.44345,9,1.143863
-8.906288,9,1.147596
-2.210947,9,1.1512
-4.543484,9,1.181369
-2.170735,9,1.185173
-8.953529,9,1.18878
0.838118,1,1.190036
-0.38948,4,1.192271
-6.773366,9,1.19605
-7.897546,9,1.199497
-6.761533,9,1.20319
-4.97313,9,1.206777
-4.973596,9,1.210395
-8.860733,9,1.242164
0.907345,1,1.243375
-3.038529,9,1.24718
-5.404111,9,1.250637
-8.16211,9,1.254211
-0.083564,5,1.256638
0.852545,1,1.2579
-3.42307,9,1.261378
-6.381461,9,1.265059
-7.907547,9,1.268667
0.839319,1,1.294453
-8.979017,9,1.298069
-6.688659,9,1.301846
-2.96724,9,1.30551
0.99722,1,1.306799
0.86919,1,1.308097
-2.912452,9,1.311822
-4.349412,9,1.31537
0.521661,2,1.316863
-8.58517,9,1.320593
-5.912308,9,1.350416
-5.358731,9,1.354012
-5.364329,9,1.357787
-8.462173,9,1.361372
-7.804777,9,1.364982
-8.992972,9,1.368779
0.878548,1,1.37001
-4.895244,9,1.373484
-5.00935,9,1.377042
-5.143046,9,1.380791
-7.595467,9,1.413535
-4.862048,9,1.417007
-6.109217,9,1.420703
-6.825755,9,1.424448
-2.523895,9,1.427998
-6.133296,9,1.43165
-8.07956,9,1.435282
-8.752505,9,1.438766
-3.530525,9,1.442532
-5.248578,9,1.446308
-0.53086,5,1.475198
-8.876202,9,1.478943
-1.985153,9,1.482482
-8.388223,9,1.486444
0.822488,1,1.4876
-5.600713,9,1.491469
-5.643574,9,1.495278
-5.002542,9,1.498762
-6.684711,9,1.502364
-1.04627,8,1.505668
-8.062632,9,1.534972
0.525962,2,1.536489
0.885572,1,1.537684
-4.604874,9,1.541542
0.991113,1,1.542717
