time/total_timesteps,time/fps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
3300,,,,-5.4050910000000005,8.2,,,,,,
3321,1616,532,2,,,,,,,,
3342,1622,536,2,,,,,,,,
3364,1627,540,2,,,,,,,,
3393,1636,544,2,,,,,,,,
3400,,,,-5.1265463,8.2,,,,,,
3416,1614,548,2,,,,,,,,
3438,1620,552,2,,,,,,,,
3472,1630,556,2,,,,,,,,
3500,,,,-4.4164859000000005,7.0,,,,,,
3501,1614,560,2,,,,,,,,
3512,1616,564,2,,,,,,,,
3541,1624,568,2,,,,,,,,
3569,1632,572,2,,,,,,,,
3600,,,,-5.644012399999999,7.4,,,,,,
3602,1617,576,2,,,,,,,,
3630,1624,580,2,,,,,,,,
3666,1635,584,2,,,,,,,,
3694,1642,588,2,,,,,,,,
3700,,,,-6.710028599999999,9.0,,,,,,
3724,1623,592,2,,,,,,,,
3742,1627,596,2,,,,,,,,
3767,1633,600,2,,,,,,,,
3780,1635,604,2,,,,,,,,
3796,1638,608,2,,,,,,,,
3800,,,,-4.786727700000001,7.5,,,,,,
3824,1622,612,2,,,,,,,,
3850,1628,616,2,,,,,,,,
3874,1634,620,2,,,,,,,,
3895,1639,624,2,,,,,,,,
3900,,,,-5.952634699999999,8.2,,,,,,
3931,1624,628,2,,,,,,,,
3956,1630,632,2,,,,,,,,
3977,1634,636,2,,,,,,,,
3996,1638,640,2,,,,,,,,
4000,,,,-5.8561095000000005,9.0,,,,,,
4025,1620,644,2,,,,,,,,
4053,1627,648,2,,,,,,,,
4076,1632,652,2,,,,,,,,
4097,1636,656,2,,,,,,,,
4100,,,,-3.8316145999999995,6.6,,,,,,
4117,1621,660,2,,,,,,,,
4145,1627,664,2,,,,,,,,
4174,1634,668,2,,,,,,,,
4200,,,,-4.3524994999999995,7.5,,,,,,
4203,1620,672,2,,,,,,,,
4239,1629,676,2,,,,,,,,
4270,1636,680,2,,,,,,,,
4282,1638,684,2,,,,,,,,
4300,,,,-5.3739189000000005,8.2,,,,,,
4302,1619,688,2,,,,,,,,
4333,1626,692,2,,,,,,,,
4354,1630,696,2,,,,,,,,
4383,1637,700,2,,,,,,,,
4400,,,,-4.201201899999999,7.0,,,,,,
4413,1624,704,2,,,,,,,,
4428,1626,708,2,,,,,,,,
4444,1629,712,2,,,,,,,,
4473,1635,716,2,,,,,,,,
4491,1639,720,2,,,,,,,,
4500,,,,-6.3877521,9.0,,,,,,
4520,1622,724,2,,,,,,,,
4551,1629,728,2,,,,,,,,
4575,1634,732,2,,,,,,,,
4600,,,,-4.3965367,7.4,,,,,,
4611,1623,736,2,,,,,,,,
4640,1629,740,2,,,,,,,,
4674,1637,744,2,,,,,,,,
4688,1639,748,2,,,,,,,,
4700,,,,-4.5120132,7.4,,,,,,
4716,1626,752,2,,,,,,,,
4748,1633,756,2,,,,,,,,
4776,1639,760,2,,,,,,,,
4800,,,,-5.8490104,8.1,,,,,,
4806,1625,764,2,,,,,,,,
4842,1633,768,2,,,,,,,,
4862,1637,772,2,,,,,,,,
4885,1641,776,2,,,,,,,,
4900,,,,-4.261280199999999,6.6,,,,,,
4916,1630,780,3,,,,,,,,
4952,1638,784,3,,,,,,,,
4987,1645,788,3,,,,,,,,
5000,,,,-4.9902336,8.2,,,,,,
5018,1633,792,3,,,,,,,,
5053,1640,796,3,,,,,,,,
5071,1643,800,3,,,,,,,,
5099,1648,804,3,,,,,,,,
5100,,,,-3.0790185,6.4,,,,,,
5120,1635,808,3,,,,,,,,
5140,1638,812,3,,,,,,,,
5166,1643,816,3,,,,,,,,
5198,1650,820,3,,,,,,,,
5200,,,,-5.524614199999999,8.2,,,,,,
5226,1636,824,3,,,,,,,,
5258,1643,828,3,,,,,,,,
5274,1645,832,3,,,,,,,,
5300,,,,-4.955905200000001,7.7,,,,,,
5303,1633,836,3,,,,,,,,
5329,1638,840,3,,,,,,,,
5357,1643,844,3,,,,,,,,
5383,1647,848,3,,,,,,,,
5400,,,,-4.887594299999999,7.9,,,,,,
5414,1636,852,3,,,,,,,,
5432,1639,856,3,,,,,,,,
5453,1642,860,3,,,,,,,,
5477,1646,864,3,,,,,,,,
5492,1648,868,3,,,,,,,,
5500,,,,-4.227326500000001,7.4,,,,,,
5518,1636,872,3,,,,,,,,
5552,1643,876,3,,,,,,,,
5570,1645,880,3,,,,,,,,
5596,1650,884,3,,,,,,,,
5600,,,,-4.825376100000001,7.4,,,,,,
5620,1637,888,3,,,,,,,,
5654,1644,892,3,,,,,,,,
5675,1647,896,3,,,,,,,,
5685,1648,900,3,,,,,,,,
5700,,,,-5.311433200000001,7.4,,,,,,
5712,1636,904,3,,,,,,,,
5737,1641,908,3,,,,,,,,
5758,1644,912,3,,,,,,,,
5790,1649,916,3,,,,,,,,
5800,,,,-5.4058021,8.2,,,,,,
5818,1637,920,3,,,,,,,,
5838,1640,924,3,,,,,,,,
5870,1646,928,3,,,,,,,,
5898,1651,932,3,,,,,,,,
5900,,,,-5.1228204,7.4,,,,,,
5927,1640,936,3,,,,,,,,
5962,1646,940,3,,,,,,,,
5998,1653,944,3,,,,,,,,
6000,,,,-5.1673626,7.8,,,,,,
6029,1642,948,3,,,,,,,,
6065,1649,952,3,,,,,,,,
6093,1653,956,3,,,,,,,,
6100,,,,-4.0748977,7.5,,,,,,
6109,1640,960,3,,,,,,,,
6141,1646,964,3,,,,,,,,
6163,1649,968,3,,,,,,,,
6199,1655,972,3,,,,,,,,
6200,,,,-6.251128100000001,9.0,,,,,,
6221,1642,976,3,,,,,,,,
6240,1644,980,3,,,,,,,,
6265,1648,984,3,,,,,,,,
6287,1651,988,3,,,,,,,,
6300,,,,-6.1086188,7.7,,,,,,
6304,1638,992,3,,,,,,,,
6340,1644,996,3,,,,,,,,
6369,1649,1000,3,,,,,,,,
6398,1653,1004,3,,,,,,,,
6400,,,,-5.0690259,8.0,,,,,,
6425,1643,1008,3,,,,,,,,
6438,1644,1012,3,,,,,,,,
6474,1650,1016,3,,,,,,,,
6489,1651,1020,3,,,,,,,,
6500,,,,-5.4237646,7.4,,,,,,
6508,1640,1024,3,,,,,,,,
6544,1646,1028,3,,,,,,,,
6563,1648,1032,3,,,,,,,,
6592,1652,1036,3,,,,,,,,
6600,,,,-3.6009694000000003,5.9,,,,,,
6618,1644,1040,4,,,,,,,,
6639,1647,1044,4,,,,,,,,
6664,1651,1048,4,,,,,,,,
6686,1654,1052,4,,,,,,,,
6700,,,,-2.9866242000000005,6.6,,,,,,
6708,1644,1056,4,,,,,,,,
6735,1648,1060,4,,,,,,,,
6765,1653,1064,4,,,,,,,,
6792,1656,1068,4,,,,,,,,
6800,,,,-4.5585651,6.9,,,,,,
6811,1646,1072,4,,,,,,,,
6820,1646,1076,4,,,,,,,,
6845,1650,1080,4,,,,,,,,
6863,1652,1084,4,,,,,,,,
6891,1656,1088,4,,,,,,,,
6900,,,,-6.1421111,7.4,,,,,,
6900,1643,1092,4,,,,,,,,
6923,1646,1096,4,,,,,,,,
6946,1649,1100,4,,,,,,,,
6960,1651,1104,4,,,,,,,,
6994,1656,1108,4,,,,,,,,
7000,,,,-5.139784199999999,8.2,,,,,,
7017,1644,1112,4,,,,,,,,
7031,1646,1116,4,,,,,,,,
7046,1647,1120,4,,,,,,,,
7082,1652,1124,4,,,,,,,,
7100,,,,-5.0878943,7.5,,,,,,
7112,1643,1128,4,,,,,,,,
7140,1647,1132,4,,,,,,,,
7176,1652,1136,4,,,,,,,,
7200,,,,-6.2094103,8.2,,,,,,
7204,1642,1140,4,,,,,,,,
7234,1646,1144,4,,,,,,,,
7259,1650,1148,4,,,,,,,,
7289,1654,1152,4,,,,,,,,
7300,,,,-5.1142804,7.8,,,,,,
7317,1645,1156,4,,,,,,,,
7347,1648,1160,4,,,,,,,,
7371,1651,1164,4,,,,,,,,
7400,,,,-6.444858000000001,8.5,,,,,,
7403,1642,1168,4,,,,,,,,
7432,1646,1172,4,,,,,,,,
7454,1649,1176,4,,,,,,,,
7482,1652,1180,4,,,,,,,,
7499,1654,1184,4,,,,,,,,
7500,,,,-6.449549299999999,9.0,,,,,,
7528,1644,1188,4,,,,,,,,
7555,1647,1192,4,,,,,,,,
7583,1651,1196,4,,,,,,,,
7600,,,,-5.8383427,9.0,,,,,,
7606,1640,1200,4,,,,,,,,
7634,1644,1204,4,,,,,,,,
7670,1649,1208,4,,,,,,,,
7700,,,,-4.3455874,8.2,,,,,,
7702,1640,1212,4,,,,,,,,
7731,1644,1216,4,,,,,,,,
7754,1646,1220,4,,,,,,,,
7786,1651,1224,4,,,,,,,,
7800,,,,-4.4926547,8.4,,,,,,
7810,1641,1228,4,,,,,,,,
7846,1646,1232,4,,,,,,,,
7882,1650,1236,4,,,,,,,,
7900,,,,-4.486038500000001,7.4,,,,,,
7912,1643,1240,4,,,,,,,,
7948,1647,1244,4,,,,,,,,
7979,1651,1248,4,,,,,,,,
7998,1653,1252,4,,,,,,,,
8000,,,,-6.2953322,8.2,,,,,,
8024,1644,1256,4,,,,,,,,
8044,1646,1260,4,,,,,,,,
8064,1648,1264,4,,,,,,,,
8093,1652,1268,4,,,,,,,,
8100,,,,-6.270655799999999,9.0,,,,,,
8118,1642,1272,4,,,,,,,,
8146,1645,1276,4,,,,,,,,
8165,1647,1280,4,,,,,,,,
8193,1651,1284,4,,,,,,,,
8200,,,,-5.010479299999999,7.4,,,,,,
8216,1642,1288,5,,,,,,,,
8238,1644,1292,5,,,,,,,,
