#{"t_start": 1735015677.8548002, "env_id": "GraspEnv_v3"}
r,l,t
-5.782765,9,5.212839
-5.777479,9,5.222832
-3.287853,9,5.229837
-8.572884,9,5.236834
-8.706591,9,5.243835
-6.69056,9,5.292961
-5.535434,9,5.30197
-3.55891,9,5.308755
-0.971098,8,5.315758
-8.283533,9,5.322754
-7.929089,9,5.328756
-1.256866,8,5.33476
-8.984016,9,5.341757
-5.65294,9,5.348758
-8.927316,9,5.356755
-5.496022,9,5.412633
-4.487035,9,5.42062
-7.678707,9,5.429618
-6.114917,9,5.436616
-8.908177,9,5.443619
-8.125503,9,5.450617
-5.243301,9,5.459631
-5.629479,9,5.466621
-8.287861,9,5.474626
-6.970244,9,5.481658
-2.976239,9,5.537565
-6.335016,9,5.545563
-7.013061,9,5.552558
-6.518261,9,5.560563
-8.795366,9,5.567562
-6.871706,9,5.57457
-7.893098,9,5.581563
-8.302968,9,5.588562
-5.832116,9,5.595701
-7.299445,9,5.601702
-8.784634,9,5.65247
-7.357802,9,5.660473
-7.338223,9,5.667474
-7.353175,9,5.674469
-8.844929,9,5.682425
-7.973363,9,5.689466
-3.863515,9,5.697603
-2.958795,9,5.705633
0.873177,1,5.707463
-3.258941,9,5.716467
-7.324786,9,5.769383
-6.768182,9,5.778391
-8.965421,9,5.786383
-8.161399,9,5.793518
-2.529256,9,5.803548
-3.21883,9,5.812412
-5.06692,9,5.820439
-2.709213,9,5.827455
0.9276,1,5.829423
-8.245409,9,5.836413
-6.93821,9,5.886412
0.890494,1,5.888426
-5.370392,9,5.897551
-6.946766,9,5.905539
0.296329,3,5.908358
-0.044889,5,5.913374
-7.101248,9,5.920401
-2.867821,9,5.928362
-3.770265,9,5.936357
-8.23369,9,5.943356
-6.098589,9,6.00149
-2.223036,9,6.00934
-8.960555,9,6.017349
-5.62772,9,6.024341
-7.134677,9,6.031346
0.948787,1,6.033346
0.841248,1,6.035344
-5.262576,9,6.041343
0.83776,1,6.043342
0.850889,1,6.045341
-6.062693,9,6.103438
-3.646889,9,6.112274
-7.418904,9,6.120271
-8.384479,9,6.130271
-3.746764,9,6.138279
-7.765018,9,6.145272
-6.740351,9,6.152275
-8.721101,9,6.159279
-5.487463,9,6.168264
-5.479213,9,6.175264
-6.169096,9,6.230038
-8.083299,9,6.238031
-4.857679,9,6.24503
-8.975894,9,6.253041
0.926178,1,6.25404
-0.175836,6,6.259041
-7.468392,9,6.26604
-5.764684,9,6.273037
-8.807345,9,6.280033
-2.581388,9,6.288038
-3.229403,9,6.336932
-3.307398,9,6.34502
-4.95556,9,6.352007
0.890744,1,6.353989
0.911954,1,6.355985
-3.780325,9,6.364981
0.116232,4,6.369977
-8.958831,9,6.377981
-7.252655,9,6.385018
-8.023181,9,6.392179
-8.207236,9,6.44902
-4.709155,9,6.458
-6.054017,9,6.465993
-3.93822,9,6.473999
-3.871919,9,6.481
-8.293412,9,6.488001
-5.665593,9,6.495142
-8.42121,9,6.503143
-8.639253,9,6.50993
-4.612277,9,6.516928
-3.639711,9,6.572926
-5.934969,9,6.581924
-7.334501,9,6.588923
-6.166575,9,6.597058
-7.550845,9,6.604054
0.871148,1,6.606695
-8.091978,9,6.616834
-6.411238,9,6.624835
-5.699807,9,6.632834
-7.336422,9,6.639777
-4.957092,9,6.695948
-7.273171,9,6.704983
-7.400476,9,6.712791
0.96409,1,6.714792
-6.893901,9,6.721805
-4.433963,9,6.729796
-8.656505,9,6.73673
-5.856035,9,6.744789
-7.568071,9,6.751795
-6.941562,9,6.758819
-2.138564,9,6.813484
-8.557566,9,6.821467
-7.676162,9,6.829447
-3.448761,9,6.837454
0.834728,1,6.838451
-8.278195,9,6.84646
-6.292726,9,6.853452
0.854573,1,6.855444
-4.342929,9,6.862469
-5.669071,9,6.869445
-2.826195,9,6.922703
-8.432554,9,6.930685
0.880921,1,6.932698
-8.500635,9,6.939693
-6.657279,9,6.947702
-7.401701,9,6.954774
-3.679548,9,6.961788
-2.299603,9,6.968792
0.826635,1,6.970773
-2.310413,9,6.977773
-4.003348,9,7.03273
-8.982364,9,7.040771
-1.955956,9,7.048732
-3.566187,9,7.055726
-1.809032,4,7.059726
-8.012491,9,7.066729
-3.481733,9,7.074732
-7.767334,9,7.081736
-3.711932,9,7.088739
-7.18626,9,7.096878
-3.154012,9,7.15062
-5.686341,9,7.159622
-4.508348,9,7.167629
-4.817253,9,7.17464
-8.61166,9,7.181627
-3.403222,9,7.188624
-2.044598,9,7.195739
-6.217363,9,7.203737
-8.895518,9,7.210518
-2.207423,9,7.218515
-6.64605,9,7.273522
0.424591,2,7.276464
-8.131604,9,7.285509
-3.484826,9,7.292658
-3.287218,9,7.300664
-5.204595,9,7.30738
-8.783646,9,7.314545
-3.715976,9,7.321542
-8.091223,9,7.328544
-2.129361,9,7.336583
-1.988917,9,7.387548
-6.953043,9,7.395718
-4.374125,9,7.403694
-3.831898,9,7.411554
-7.990317,9,7.419571
-7.147692,9,7.426553
0.990679,1,7.42856
-7.924987,9,7.43556
-5.184305,9,7.44256
-3.802649,9,7.449556
0.955263,1,7.4937
-2.072479,9,7.50265
-5.926255,9,7.509502
-8.113997,9,7.517443
-3.655128,9,7.524542
-3.575858,9,7.531505
-8.617774,9,7.539521
-6.926558,9,7.546512
-3.781849,9,7.553515
-7.619195,9,7.562526
-5.20169,9,7.61927
-5.233437,9,7.626271
-8.928622,9,7.634267
0.466181,3,7.637224
-6.09264,9,7.644269
-2.67098,9,7.651272
-0.372432,6,7.656268
-3.810274,9,7.665263
0.955614,1,7.666263
0.929594,1,7.668265
-5.984883,9,7.726933
-8.604759,9,7.735
-7.419101,9,7.742959
0.070655,3,7.745998
-8.227177,9,7.752998
0.925817,1,7.754916
-1.951542,9,7.763007
0.979558,1,7.763997
-7.881486,9,7.772022
-2.846291,9,7.778998
-0.030051,3,7.829904
-8.502907,9,7.836902
-8.922894,9,7.845908
-6.918609,9,7.852901
-0.769765,5,7.856898
-4.424188,9,7.863899
-7.522552,9,7.870899
-6.84485,9,7.8789
-3.851407,9,7.8869
-1.748255,9,7.894038
-8.533466,9,7.949823
-5.777794,9,7.957824
-8.343122,9,7.967863
-6.507742,9,7.974822
-4.048556,9,7.983816
-5.425496,9,7.991823
0.829338,1,7.992823
-4.928646,9,7.99997
-8.357344,9,8.00861
-8.063167,9,8.014763
-6.11544,9,8.068691
-5.747384,9,8.076685
-8.88027,9,8.084688
0.95536,1,8.086692
-8.579725,9,8.09378
0.813327,1,8.095775
-6.962278,9,8.102769
-6.28908,9,8.109619
-2.486171,9,8.116623
-8.848212,9,8.126623
-5.349365,9,8.184535
-7.991151,9,8.192549
-8.764312,9,8.199619
-7.084991,9,8.206609
-6.831405,9,8.214322
-8.847171,9,8.221325
-4.321156,9,8.228319
-7.951401,9,8.235322
-8.13002,9,8.242331
-6.931553,9,8.249324
-7.958219,9,8.304321
-6.361513,9,8.311434
-1.986177,9,8.319447
-8.428557,9,8.326518
-3.628636,9,8.333512
-8.025568,9,8.341535
-8.526182,9,8.347513
-3.771921,9,8.354515
-8.585451,9,8.362468
0.282819,3,8.365513
-6.033091,9,8.419333
-7.12609,9,8.427336
-7.722035,9,8.435355
-6.343823,9,8.442343
-5.359253,9,8.449351
-8.470072,9,8.457346
-7.260011,9,8.46434
0.893113,1,8.466355
-8.949329,9,8.473412
-8.468763,9,8.480411
-4.05656,9,8.535285
-0.299556,4,8.540277
-5.307774,9,8.550292
-2.311428,9,8.558284
-8.894058,9,8.565284
-7.603461,9,8.573292
0.957471,1,8.575274
-6.724754,9,8.582298
-8.615362,9,8.589274
-7.48253,9,8.596364
0.523794,2,8.642017
