time/fps,time/total_timesteps,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss
848,3507,4,544,,,,,,,,
850,3523,4,548,,,,,,,,
853,3545,4,552,,,,,,,,
857,3571,4,556,,,,,,,,
861,3596,4,560,,,,,,,,
,3600,,,9.0,-6.2412292,,,,,,
849,3625,4,564,,,,,,,,
852,3647,4,568,,,,,,,,
857,3679,4,572,,,,,,,,
859,3693,4,576,,,,,,,,
,3700,,,8.2,-5.7294898,,,,,,
847,3719,4,580,,,,,,,,
851,3743,4,584,,,,,,,,
855,3772,4,588,,,,,,,,
858,3795,4,592,,,,,,,,
,3800,,,8.2,-5.9016686,,,,,,
846,3813,4,596,,,,,,,,
850,3840,4,600,,,,,,,,
853,3861,4,604,,,,,,,,
855,3880,4,608,,,,,,,,
,3900,,,7.4,-4.4714673,,,,,,
846,3905,4,612,,,,,,,,
849,3927,4,616,,,,,,,,
853,3954,4,620,,,,,,,,
856,3976,4,624,,,,,,,,
,4000,,,7.4,-4.0400371999999996,,,,,,
848,4005,4,628,,,,,,,,
851,4028,4,632,,,,,,,,
854,4050,4,636,,,,,,,,
859,4084,4,640,,,,,,,,
861,4099,4,644,,,,,,,,
,4100,,,8.5,-5.047663699999999,,,,,,
852,4131,4,648,,,,,,,,
855,4154,4,652,,,,,,,,
858,4177,4,656,,,,,,,,
,4200,,,9.0,-4.9545737999999995,,,,,,
847,4201,4,660,,,,,,,,
851,4230,4,664,,,,,,,,
854,4253,4,668,,,,,,,,
855,4266,4,672,,,,,,,,
858,4293,4,676,,,,,,,,
,4300,,,8.3,-4.9049908,,,,,,
849,4321,5,680,,,,,,,,
853,4349,5,684,,,,,,,,
856,4373,5,688,,,,,,,,
,4400,,,8.2,-4.8207254,,,,,,
848,4402,5,692,,,,,,,,
851,4425,5,696,,,,,,,,
855,4459,5,700,,,,,,,,
858,4485,5,704,,,,,,,,
,4500,,,8.2,-4.933382999999999,,,,,,
850,4514,5,708,,,,,,,,
852,4533,5,712,,,,,,,,
855,4560,5,716,,,,,,,,
858,4581,5,720,,,,,,,,
,4600,,,6.5,-2.9958685999999997,,,,,,
849,4600,5,724,,,,,,,,
853,4627,5,728,,,,,,,,
855,4651,5,732,,,,,,,,
859,4684,5,736,,,,,,,,
,4700,,,6.8,-4.0939209000000005,,,,,,
852,4705,5,740,,,,,,,,
854,4721,5,744,,,,,,,,
857,4749,5,748,,,,,,,,
858,4764,5,752,,,,,,,,
,4800,,,8.0,-4.953547800000001,,,,,,
852,4800,5,756,,,,,,,,
855,4826,5,760,,,,,,,,
857,4846,5,764,,,,,,,,
860,4876,5,768,,,,,,,,
862,4898,5,772,,,,,,,,
,4900,,,8.2,-5.9155995,,,,,,
852,4912,5,776,,,,,,,,
854,4928,5,780,,,,,,,,
857,4956,5,784,,,,,,,,
860,4984,5,788,,,,,,,,
,5000,,,7.4,-5.213987299999999,,,,,,
853,5011,5,792,,,,,,,,
855,5031,5,796,,,,,,,,
858,5058,5,800,,,,,,,,
861,5082,5,804,,,,,,,,
861,5088,5,808,,,,,,,,
,5100,,,9.0,-7.220252499999999,,,,,,
852,5106,5,812,,,,,,,,
854,5131,6,816,,,,,,,,
856,5147,6,820,,,,,,,,
859,5179,6,824,,,,,,,,
,5200,,,8.4,-5.6989405,,,,,,
852,5206,6,828,,,,,,,,
854,5229,6,832,,,,,,,,
858,5259,6,836,,,,,,,,
859,5275,6,840,,,,,,,,
,5300,,,8.2,-6.4839354,,,,,,
853,5311,6,844,,,,,,,,
855,5333,6,848,,,,,,,,
856,5348,6,852,,,,,,,,
860,5382,6,856,,,,,,,,
,5400,,,7.7,-5.033801199999999,,,,,,
854,5418,6,860,,,,,,,,
856,5438,6,864,,,,,,,,
860,5474,6,868,,,,,,,,
862,5496,6,872,,,,,,,,
,5500,,,8.3,-4.8877006000000005,,,,,,
855,5519,6,876,,,,,,,,
858,5550,6,880,,,,,,,,
860,5575,6,884,,,,,,,,
863,5599,6,888,,,,,,,,
,5600,,,7.1,-3.9528686,,,,,,
856,5621,6,892,,,,,,,,
858,5644,6,896,,,,,,,,
862,5679,6,900,,,,,,,,
,5700,,,8.2,-5.5144972,,,,,,
855,5705,6,904,,,,,,,,
858,5733,6,908,,,,,,,,
861,5760,6,912,,,,,,,,
862,5781,6,916,,,,,,,,
864,5797,6,920,,,,,,,,
,5800,,,9.0,-6.903445100000001,,,,,,
857,5827,6,924,,,,,,,,
859,5852,6,928,,,,,,,,
862,5884,6,932,,,,,,,,
,5900,,,5.2,-3.3840405,,,,,,
859,5920,6,936,,,,,,,,
862,5947,6,940,,,,,,,,
864,5973,6,944,,,,,,,,
867,5998,6,948,,,,,,,,
,6000,,,8.2,-6.0152977000000005,,,,,,
859,6019,7,952,,,,,,,,
861,6038,7,956,,,,,,,,
864,6072,7,960,,,,,,,,
865,6089,7,964,,,,,,,,
,6100,,,8.5,-6.159911699999999,,,,,,
857,6112,7,968,,,,,,,,
859,6136,7,972,,,,,,,,
860,6146,7,976,,,,,,,,
863,6182,7,980,,,,,,,,
,6200,,,8.4,-5.300312699999999,,,,,,
856,6204,7,984,,,,,,,,
859,6234,7,988,,,,,,,,
861,6260,7,992,,,,,,,,
862,6274,7,996,,,,,,,,
864,6294,7,1000,,,,,,,,
,6300,,,7.4,-4.2179655,,,,,,
858,6320,7,1004,,,,,,,,
861,6347,7,1008,,,,,,,,
864,6381,7,1012,,,,,,,,
,6400,,,9.0,-6.4926212,,,,,,
858,6417,7,1016,,,,,,,,
860,6453,7,1020,,,,,,,,
862,6485,7,1024,,,,,,,,
,6500,,,7.4,-4.324138199999999,,,,,,
856,6517,7,1028,,,,,,,,
858,6545,7,1032,,,,,,,,
860,6571,7,1036,,,,,,,,
862,6592,7,1040,,,,,,,,
,6600,,,8.0,-5.489367400000001,,,,,,
856,6619,7,1044,,,,,,,,
859,6651,7,1048,,,,,,,,
862,6683,7,1052,,,,,,,,
,6700,,,6.9,-4.3637685,,,,,,
857,6719,7,1056,,,,,,,,
860,6749,7,1060,,,,,,,,
862,6778,7,1064,,,,,,,,
,6800,,,8.2,-4.810228799999999,,,,,,
857,6806,7,1068,,,,,,,,
859,6834,7,1072,,,,,,,,
861,6858,7,1076,,,,,,,,
863,6884,7,1080,,,,,,,,
,6900,,,9.0,-6.880011200000001,,,,,,
857,6916,8,1084,,,,,,,,
860,6944,8,1088,,,,,,,,
860,6955,8,1092,,,,,,,,
863,6989,8,1096,,,,,,,,
,7000,,,7.6,-5.2595309,,,,,,
859,7025,8,1100,,,,,,,,
860,7049,8,1104,,,,,,,,
862,7067,8,1108,,,,,,,,
864,7097,8,1112,,,,,,,,
,7100,,,8.2,-5.8517958000000005,,,,,,
857,7111,8,1116,,,,,,,,
860,7146,8,1120,,,,,,,,
862,7173,8,1124,,,,,,,,
,7200,,,8.2,-6.274627199999999,,,,,,
857,7204,8,1128,,,,,,,,
858,7225,8,1132,,,,,,,,
860,7249,8,1136,,,,,,,,
862,7281,8,1140,,,,,,,,
,7300,,,7.4,-4.3743717,,,,,,
858,7309,8,1144,,,,,,,,
859,7331,8,1148,,,,,,,,
861,7358,8,1152,,,,,,,,
864,7394,8,1156,,,,,,,,
,7400,,,9.0,-6.553948200000001,,,,,,
858,7421,8,1160,,,,,,,,
859,7439,8,1164,,,,,,,,
860,7454,8,1168,,,,,,,,
861,7465,8,1172,,,,,,,,
862,7490,8,1176,,,,,,,,
,7500,,,7.4,-3.9474449,,,,,,
858,7519,8,1180,,,,,,,,
860,7547,8,1184,,,,,,,,
860,7558,8,1188,,,,,,,,
862,7582,8,1192,,,,,,,,
,7600,,,6.6,-4.607499899999999,,,,,,
858,7604,8,1196,,,,,,,,
860,7630,8,1200,,,,,,,,
862,7660,8,1204,,,,,,,,
863,7678,8,1208,,,,,,,,
,7700,,,8.2,-5.8298802,,,,,,
858,7708,8,1212,,,,,,,,
861,7744,8,1216,,,,,,,,
861,7752,8,1220,,,,,,,,
864,7782,9,1224,,,,,,,,
,7800,,,7.6,-4.8851439,,,,,,
860,7815,9,1228,,,,,,,,
862,7846,9,1232,,,,,,,,
864,7878,9,1236,,,,,,,,
,7900,,,9.0,-5.862502699999999,,,,,,
859,7906,9,1240,,,,,,,,
860,7924,9,1244,,,,,,,,
861,7943,9,1248,,,,,,,,
863,7970,9,1252,,,,,,,,
864,7994,9,1256,,,,,,,,
,8000,,,7.6,-3.3234975000000007,,,,,,
859,8010,9,1260,,,,,,,,
859,8024,9,1264,,,,,,,,
859,8031,9,1268,,,,,,,,
861,8051,9,1272,,,,,,,,
863,8084,9,1276,,,,,,,,
,8100,,,9.0,-6.987921099999999,,,,,,
859,8120,9,1280,,,,,,,,
860,8145,9,1284,,,,,,,,
862,8168,9,1288,,,,,,,,
863,8194,9,1292,,,,,,,,
,8200,,,7.4,-4.1038415,,,,,,
858,8214,9,1296,,,,,,,,
860,8237,9,1300,,,,,,,,
862,8268,9,1304,,,,,,,,
863,8292,9,1308,,,,,,,,
,8300,,,6.6,-4.3705315,,,,,,
859,8316,9,1312,,,,,,,,
861,8347,9,1316,,,,,,,,
862,8365,9,1320,,,,,,,,
864,8394,9,1324,,,,,,,,
,8400,,,7.4,-4.5899588,,,,,,
859,8419,9,1328,,,,,,,,
860,8441,9,1332,,,,,,,,
862,8471,9,1336,,,,,,,,
864,8496,9,1340,,,,,,,,
,8500,,,9.0,-6.886000499999999,,,,,,
859,8524,9,1344,,,,,,,,
861,8554,9,1348,,,,,,,,
862,8579,9,1352,,,,,,,,
864,8599,9,1356,,,,,,,,
,8600,,,8.4,-5.767241799999999,,,,,,
858,8620,10,1360,,,,,,,,
860,8650,10,1364,,,,,,,,
861,8667,10,1368,,,,,,,,
863,8694,10,1372,,,,,,,,
,8700,,,9.0,-5.7782919,,,,,,
856,8706,10,1376,,,,,,,,
858,8731,10,1380,,,,,,,,
860,8763,10,1384,,,,,,,,
862,8799,10,1388,,,,,,,,
,8800,,,8.6,-5.421224700000001,,,,,,
857,8819,10,1392,,,,,,,,
859,8855,10,1396,,,,,,,,
860,8877,10,1400,,,,,,,,
,8900,,,8.2,-4.6962698,,,,,,
856,8903,10,1404,,,,,,,,
858,8933,10,1408,,,,,,,,
860,8964,10,1412,,,,,,,,
862,8992,10,1416,,,,,,,,
,9000,,,8.2,-5.6771124,,,,,,
857,9024,10,1420,,,,,,,,
859,9050,10,1424,,,,,,,,
860,9068,10,1428,,,,,,,,
862,9096,10,1432,,,,,,,,
,9100,,,7.4,-4.5707237,,,,,,
857,9113,10,1436,,,,,,,,
858,9135,10,1440,,,,,,,,
859,9161,10,1444,,,,,,,,
862,9196,10,1448,,,,,,,,
,9200,,,6.9,-4.318857499999999,,,,,,
858,9232,10,1452,,,,,,,,
861,9267,10,1456,,,,,,,,
861,9277,10,1460,,,,,,,,
862,9295,10,1464,,,,,,,,
,9300,,,6.8,-4.2355152,,,,,,
858,9323,10,1468,,,,,,,,
859,9345,10,1472,,,,,,,,
860,9368,10,1476,,,,,,,,
862,9393,10,1480,,,,,,,,
,9400,,,8.4,-5.824122900000001,,,,,,
857,9418,10,1484,,,,,,,,
859,9444,10,1488,,,,,,,,
860,9472,11,1492,,,,,,,,
862,9493,11,1496,,,,,,,,
,9500,,,9.0,-5.8334622,,,,,,
857,9522,11,1500,,,,,,,,
858,9543,11,1504,,,,,,,,
860,9576,11,1508,,,,,,,,
,9600,,,8.2,-5.5251749,,,,,,
856,9605,11,1512,,,,,,,,
857,9631,11,1516,,,,,,,,
859,9658,11,1520,,,,,,,,
861,9694,11,1524,,,,,,,,
,9700,,,8.2,-5.8967227,,,,,,
856,9725,11,1528,,,,,,,,
857,9738,11,1532,,,,,,,,
859,9770,11,1536,,,,,,,,
860,9788,11,1540,,,,,,,,
,9800,,,7.5,-3.8251611999999993,,,,,,
855,9813,11,1544,,,,,,,,
855,9822,11,1548,,,,,,,,
857,9850,11,1552,,,,,,,,
858,9874,11,1556,,,,,,,,
860,9898,11,1560,,,,,,,,
,9900,,,8.2,-5.3406583,,,,,,
854,9912,11,1564,,,,,,,,
856,9940,11,1568,,,,,,,,
857,9971,11,1572,,,,,,,,
858,9989,11,1576,,,,,,,,
,10000,,,7.5,-4.8168023,,,,,,
855,10024,11,1580,,,,,,,,
856,10046,11,1584,,,,,,,,
858,10082,11,1588,,,,,,,,
,10100,,,7.4,-4.709831500000001,,,,,,
853,10108,11,1592,,,,,,,,
855,10139,11,1596,,,,,,,,
857,10167,11,1600,,,,,,,,
858,10187,11,1604,,,,,,,,
,10200,,,8.2,-4.9502929,,,,,,
853,10213,11,1608,,,,,,,,
854,10230,11,1612,,,,,,,,
856,10263,11,1616,,,,,,,,
856,10276,11,1620,,,,,,,,
857,10293,11,1624,,,,,,,,
,10300,,,8.2,-5.486154600000001,,,,,,
853,10329,12,1628,,,,,,,,
854,10349,12,1632,,,,,,,,
856,10381,12,1636,,,,,,,,
856,10390,12,1640,,,,,,,,
,10400,,,8.4,-5.8795139999999995,,,,,,
852,10423,12,1644,,,,,,,,
854,10459,12,1648,,,,,,,,
856,10495,12,1652,,,,,,,,
,10500,,,7.3,-4.3559328,,,,,,
852,10528,12,1656,,,,,,,,
853,10552,12,1660,,,,,,,,
854,10575,12,1664,,,,,,,,
,10600,,,9.0,-5.772392999999999,,,,,,
849,10601,12,1668,,,,,,,,
850,10622,12,1672,,,,,,,,
852,10655,12,1676,,,,,,,,
852,10668,12,1680,,,,,,,,
853,10686,12,1684,,,,,,,,
,10700,,,8.0,-4.669700799999999,,,,,,
848,10712,12,1688,,,,,,,,
850,10748,12,1692,,,,,,,,
851,10763,12,1696,,,,,,,,
853,10793,12,1700,,,,,,,,
,10800,,,8.2,-5.7067047,,,,,,
847,10813,12,1704,,,,,,,,
848,10843,12,1708,,,,,,,,
850,10872,12,1712,,,,,,,,
851,10899,12,1716,,,,,,,,
,10900,,,8.2,-5.3569287999999995,,,,,,
846,10919,12,1720,,,,,,,,
847,10947,12,1724,,,,,,,,
849,10972,12,1728,,,,,,,,
849,10991,12,1732,,,,,,,,
,11000,,,8.3,-5.908309900000001,,,,,,
846,11027,13,1736,,,,,,,,
847,11061,13,1740,,,,,,,,
848,11082,13,1744,,,,,,,,
,11100,,,8.2,-5.7738925000000005,,,,,,
844,11109,13,1748,,,,,,,,
845,11129,13,1752,,,,,,,,
846,11160,13,1756,,,,,,,,
848,11190,13,1760,,,,,,,,
,11200,,,8.2,-5.8691733,,,,,,
843,11211,13,1764,,,,,,,,
844,11232,13,1768,,,,,,,,
845,11256,13,1772,,,,,,,,
847,11289,13,1776,,,,,,,,
,11300,,,8.5,-6.912502999999999,,,,,,
842,11325,13,1780,,,,,,,,
843,11345,13,1784,,,,,,,,
844,11375,13,1788,,,,,,,,
845,11391,13,1792,,,,,,,,
,11400,,,8.2,-6.0506925,,,,,,
841,11427,13,1796,,,,,,,,
843,11463,13,1800,,,,,,,,
844,11486,13,1804,,,,,,,,
,11500,,,8.2,-4.714041699999999,,,,,,
839,11516,13,1808,,,,,,,,
840,11538,13,1812,,,,,,,,
841,11565,13,1816,,,,,,,,
843,11593,13,1820,,,,,,,,
,11600,,,8.4,-6.507867300000001,,,,,,
839,11624,13,1824,,,,,,,,
839,11641,13,1828,,,,,,,,
840,11659,13,1832,,,,,,,,
841,11688,13,1836,,,,,,,,
,11700,,,7.4,-5.5823564,,,,,,
838,11717,13,1840,,,,,,,,
838,11734,13,1844,,,,,,,,
840,11764,14,1848,,,,,,,,
841,11785,14,1852,,,,,,,,
,11800,,,8.2,-4.6675219,,,,,,
837,11818,14,1856,,,,,,,,
839,11854,14,1860,,,,,,,,
840,11880,14,1864,,,,,,,,
,11900,,,7.4,-4.734999,,,,,,
836,11903,14,1868,,,,,,,,
837,11927,14,1872,,,,,,,,
839,11955,14,1876,,,,,,,,
840,11980,14,1880,,,,,,,,
,12000,,,6.0,-3.6972158,,,,,,
837,12005,14,1884,,,,,,,,
838,12030,14,1888,,,,,,,,
839,12054,14,1892,,,,,,,,
840,12080,14,1896,,,,,,,,
,12100,,,9.0,-5.8967499000000005,,,,,,
836,12113,14,1900,,,,,,,,
838,12142,14,1904,,,,,,,,
838,12155,14,1908,,,,,,,,
839,12173,14,1912,,,,,,,,
840,12199,14,1916,,,,,,,,
,12200,,,9.0,-5.2201534999999994,,,,,,
834,12204,14,1920,,,,,,,,
836,12235,14,1924,,,,,,,,
837,12271,14,1928,,,,,,,,
838,12293,14,1932,,,,,,,,
,12300,,,7.6,-5.7587049,,,,,,
833,12309,14,1936,,,,,,,,
835,12338,14,1940,,,,,,,,
836,12366,14,1944,,,,,,,,
837,12394,14,1948,,,,,,,,
,12400,,,8.5,-6.237294800000001,,,,,,
833,12424,14,1952,,,,,,,,
834,12452,14,1956,,,,,,,,
835,12473,14,1960,,,,,,,,
836,12496,14,1964,,,,,,,,
,12500,,,4.2,-1.8449773,,,,,,
831,12519,15,1968,,,,,,,,
832,12539,15,1972,,,,,,,,
833,12566,15,1976,,,,,,,,
835,12598,15,1980,,,,,,,,
,12600,,,8.6,-5.5174274,,,,,,
830,12619,15,1984,,,,,,,,
831,12637,15,1988,,,,,,,,
832,12658,15,1992,,,,,,,,
833,12690,15,1996,,,,,,,,
,12700,,,9.0,-6.446080299999998,,,,,,
830,12726,15,2000,,,,,,,,
831,12757,15,2004,,,,,,,,
833,12787,15,2008,,,,,,,,
,12800,,,9.0,-7.5803037,,,,,,
829,12817,15,2012,,,,,,,,
829,12834,15,2016,,,,,,,,
831,12860,15,2020,,,,,,,,
831,12881,15,2024,,,,,,,,
832,12890,15,2028,,,,,,,,
,12900,,,8.2,-5.752371,,,,,,
828,12914,15,2032,,,,,,,,
829,12947,15,2036,,,,,,,,
830,12975,15,2040,,,,,,,,
,13000,,,6.0,-2.8183662,,,,,,
828,13005,15,2044,,,,,,,,
829,13033,15,2048,,,,,,,,
829,13042,15,2052,,,,,,,,
830,13060,15,2056,,,,,,,,
831,13081,15,2060,,,,,,,,
831,13094,15,2064,,,,,,,,
,13100,,,7.4,-5.546213099999999,,,,,,
828,13122,15,2068,,,,,,,,
828,13135,15,2072,,,,,,,,
829,13157,15,2076,,,,,,,,
831,13192,15,2080,,,,,,,,
,13200,,,7.5,-5.4389082,,,,,,
828,13223,15,2084,,,,,,,,
829,13255,15,2088,,,,,,,,
830,13276,15,2092,,,,,,,,
,13300,,,9.0,-5.977158,,,,,,
826,13304,16,2096,,,,,,,,
827,13324,16,2100,,,,,,,,
828,13353,16,2104,,,,,,,,
829,13381,16,2108,,,,,,,,
,13400,,,5.8,-2.6337608999999995,,,,,,
826,13404,16,2112,,,,,,,,
827,13426,16,2116,,,,,,,,
829,13462,16,2120,,,,,,,,
830,13482,16,2124,,,,,,,,
,13500,,,7.4,-5.1059453,,,,,,
827,13516,16,2128,,,,,,,,
828,13533,16,2132,,,,,,,,
829,13564,16,2136,,,,,,,,
829,13581,16,2140,,,,,,,,
,13600,,,7.4,-4.9232257,,,,,,
826,13608,16,2144,,,,,,,,
827,13629,16,2148,,,,,,,,
828,13653,16,2152,,,,,,,,
830,13689,16,2156,,,,,,,,
,13700,,,9.0,-5.5471924,,,,,,
826,13714,16,2160,,,,,,,,
826,13733,16,2164,,,,,,,,
828,13765,16,2168,,,,,,,,
828,13788,16,2172,,,,,,,,
,13800,,,8.2,-4.649937100000001,,,,,,
825,13817,16,2176,,,,,,,,
826,13842,16,2180,,,,,,,,
827,13868,16,2184,,,,,,,,
828,13892,16,2188,,,,,,,,
,13900,,,5.2,-2.5218476,,,,,,
827,13928,16,2192,,,,,,,,
828,13954,16,2196,,,,,,,,
828,13974,16,2200,,,,,,,,
829,13996,16,2204,,,,,,,,
,14000,,,8.2,-6.5170175,,,,,,
826,14025,16,2208,,,,,,,,
827,14053,16,2212,,,,,,,,
829,14087,16,2216,,,,,,,,
,14100,,,6.6,-3.7773251,,,,,,
826,14108,17,2220,,,,,,,,
826,14124,17,2224,,,,,,,,
827,14154,17,2228,,,,,,,,
829,14185,17,2232,,,,,,,,
,14200,,,6.6,-4.7945967000000005,,,,,,
826,14213,17,2236,,,,,,,,
827,14242,17,2240,,,,,,,,
828,14264,17,2244,,,,,,,,
829,14294,17,2248,,,,,,,,
,14300,,,8.2,-5.9410304,,,,,,
826,14325,17,2252,,,,,,,,
827,14355,17,2256,,,,,,,,
828,14383,17,2260,,,,,,,,
,14400,,,7.4,-4.4382193,,,,,,
825,14405,17,2264,,,,,,,,
825,14418,17,2268,,,,,,,,
826,14440,17,2272,,,,,,,,
827,14471,17,2276,,,,,,,,
828,14493,17,2280,,,,,,,,
,14500,,,7.4,-4.7243794,,,,,,
825,14523,17,2284,,,,,,,,
826,14546,17,2288,,,,,,,,
827,14565,17,2292,,,,,,,,
,14600,,,9.0,-6.2786843,,,,,,
824,14601,17,2296,,,,,,,,
825,14633,17,2300,,,,,,,,
826,14664,17,2304,,,,,,,,
827,14690,17,2308,,,,,,,,
,14700,,,8.2,-5.9017333999999995,,,,,,
824,14715,17,2312,,,,,,,,
825,14751,17,2316,,,,,,,,
826,14774,17,2320,,,,,,,,
,14800,,,9.0,-5.6254937,,,,,,
823,14804,17,2324,,,,,,,,
824,14828,17,2328,,,,,,,,
824,14847,17,2332,,,,,,,,
825,14876,18,2336,,,,,,,,
826,14884,18,2340,,,,,,,,
