time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
,6000,,,-5.0055638,9.2
434,6015,776,13,,
435,6034,780,13,,
439,6087,784,13,,
,6100,,,-5.454484800000001,9.3
433,6114,788,14,,
435,6144,792,14,,
437,6179,796,14,,
,6200,,,-6.1548240000000005,10.4
432,6223,800,14,,
433,6236,804,14,,
435,6276,808,14,,
,6300,,,-4.386676800000001,8.8
431,6305,812,14,,
434,6351,816,14,,
436,6390,820,14,,
,6400,,,-6.922296299999999,10.9
430,6416,824,14,,
433,6460,828,14,,
435,6496,832,14,,
,6500,,,-7.6879428,12.0
429,6525,836,15,,
430,6558,840,15,,
432,6595,844,15,,
,6600,,,-2.3497733,6.0
431,6632,848,15,,
432,6664,852,15,,
433,6682,856,15,,
,6700,,,-5.654167,10.0
429,6728,860,15,,
430,6740,864,15,,
432,6772,868,15,,
,6800,,,-7.132796099999998,10.4
428,6819,872,15,,
431,6865,876,15,,
432,6894,880,15,,
,6900,,,-5.1892966000000005,9.2
428,6934,884,16,,
430,6960,888,16,,
432,6997,892,16,,
,7000,,,-10.018707599999999,13.9
424,7024,896,16,,
426,7049,900,16,,
428,7095,904,16,,
,7100,,,-4.4284765,8.0
425,7137,908,16,,
426,7164,912,16,,
427,7185,916,16,,
,7200,,,-7.2028723999999995,10.4
424,7228,920,17,,
425,7254,924,17,,
426,7287,928,17,,
,7300,,,-5.024272600000001,8.8
423,7329,932,17,,
424,7346,936,17,,
425,7371,940,17,,
,7400,,,-5.860330599999999,9.1
422,7414,944,17,,
423,7432,948,17,,
425,7477,952,17,,
,7500,,,-6.5422921,11.4
421,7520,956,17,,
422,7552,960,17,,
423,7560,964,17,,
,7600,,,-9.081538400000001,12.1
419,7605,968,18,,
420,7628,972,18,,
420,7645,976,18,,
422,7674,980,18,,
423,7698,984,18,,
,7700,,,-3.1478032,6.0
420,7714,988,18,,
421,7745,992,18,,
422,7773,996,18,,
,7800,,,-3.8611497,7.6
420,7817,1000,18,,
421,7829,1004,18,,
422,7856,1008,18,,
423,7875,1012,18,,
,7900,,,-2.3905465999999995,5.9
421,7906,1016,18,,
422,7936,1020,18,,
424,7974,1024,18,,
425,7998,1028,18,,
,8000,,,-3.4296449000000004,6.6
422,8025,1032,18,,
424,8073,1036,19,,
,8100,,,-4.129178999999999,8.1
421,8112,1040,19,,
422,8141,1044,19,,
422,8161,1048,19,,
,8200,,,-3.1003271,5.2
421,8202,1052,19,,
422,8226,1056,19,,
423,8259,1060,19,,
425,8288,1064,19,,
,8300,,,-3.4797029999999993,6.7
422,8324,1068,19,,
424,8361,1072,19,,
,8400,,,-6.437949900000001,10.6
420,8400,1076,19,,
421,8429,1080,20,,
422,8460,1084,20,,
423,8492,1088,20,,
