time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
2164,62,17366,277,,,,,,,,
,,17400,,10.2,-8.260789399999998,,,,,,
2168,63,17403,276,,,,,,,,
2172,63,17435,276,,,,,,,,
2176,63,17474,277,,,,,,,,
,,17500,,5.9,-3.0587619999999998,,,,,,
2180,63,17504,276,,,,,,,,
2184,63,17525,276,,,,,,,,
2188,63,17535,276,,,,,,,,
2192,63,17564,277,,,,,,,,
,,17600,,4.5,-2.3398286,,,,,,
2196,63,17620,277,,,,,,,,
2200,63,17670,277,,,,,,,,
2204,63,17695,278,,,,,,,,
,,17700,,6.6,-3.0538412999999998,,,,,,
2208,63,17715,277,,,,,,,,
2212,63,17761,277,,,,,,,,
2216,63,17775,278,,,,,,,,
,,17800,,9.1,-5.677472000000001,,,,,,
2220,64,17810,277,,,,,,,,
2224,64,17843,277,,,,,,,,
2228,64,17877,277,,,,,,,,
2232,64,17893,277,,,,,,,,
,,17900,,9.5,-5.6491321999999995,,,,,,
2236,64,17930,276,,,,,,,,
2240,64,17957,277,,,,,,,,
2244,64,17991,277,,,,,,,,
,,18000,,10.6,-7.6357718000000006,,,,,,
2248,65,18029,276,,,,,,,,
2252,65,18064,276,,,,,,,,
,,18100,,5.8,-3.6570308000000002,,,,,,
2256,65,18102,276,,,,,,,,
2260,65,18146,276,,,,,,,,
2264,65,18167,277,,,,,,,,
,,18200,,8.4,-4.9540675,,,,,,
2268,65,18214,276,,,,,,,,
2272,65,18234,276,,,,,,,,
2276,65,18256,276,,,,,,,,
2280,65,18268,276,,,,,,,,
,,18300,,6.2,-3.3530051,,,,,,
2284,66,18319,276,,,,,,,,
2288,66,18353,277,,,,,,,,
2292,66,18376,277,,,,,,,,
,,18400,,9.6,-5.9015197,,,,,,
2296,66,18411,276,,,,,,,,
2300,66,18455,276,,,,,,,,
2304,66,18493,277,,,,,,,,
,,18500,,6.8,-4.0019182,,,,,,
2308,67,18529,276,,,,,,,,
2312,67,18558,276,,,,,,,,
2316,67,18598,277,,,,,,,,
,,18600,,10.7,-6.618693899999999,,,,,,
2320,67,18615,275,,,,,,,,
2324,67,18642,276,,,,,,,,
2328,67,18685,276,,,,,,,,
,,18700,,7.0,-4.0235989,,,,,,
2332,67,18728,276,,,,,,,,
2336,67,18772,276,,,,,,,,
,,18800,,7.4,-4.3573535,,,,,,
2340,68,18812,275,,,,,,,,
2344,68,18840,276,,,,,,,,
2348,68,18860,276,,,,,,,,
2352,68,18889,276,,,,,,,,
,,18900,,6.7,-3.0271567,,,,,,
2356,68,18922,276,,,,,,,,
2360,68,18964,276,,,,,,,,
2364,68,18983,276,,,,,,,,
,,19000,,11.0,-7.8900391999999995,,,,,,
2368,68,19007,275,,,,,,,,
2372,68,19041,276,,,,,,,,
2376,68,19065,276,,,,,,,,
2380,69,19096,276,,,,,,,,
,,19100,,6.7,-3.9059204999999997,,,,,,
2384,69,19128,276,,,,,,,,
2388,69,19161,276,,,,,,,,
2392,69,19186,276,,,,,,,,
,,19200,,11.8,-7.507663500000001,,,,,,
2396,69,19209,275,,,,,,,,
2400,69,19239,275,,,,,,,,
2404,70,19274,275,,,,,,,,
,,19300,,10.3,-6.295459,,,,,,
2408,70,19312,274,,,,,,,,
2412,70,19337,274,,,,,,,,
2416,70,19382,275,,,,,,,,
,,19400,,6.3,-3.4036636000000002,,,,,,
2420,70,19400,274,,,,,,,,
2424,70,19449,274,,,,,,,,
2428,70,19487,275,,,,,,,,
,,19500,,5.9,-2.109573,,,,,,
2432,71,19517,274,,,,,,,,
2436,71,19538,274,,,,,,,,
2440,71,19582,275,,,,,,,,
,,19600,,8.0,-4.667858300000001,,,,,,
2444,71,19615,274,,,,,,,,
2448,71,19662,275,,,,,,,,
2452,71,19697,275,,,,,,,,
,,19700,,8.3,-5.1566469,,,,,,
2456,71,19720,274,,,,,,,,
2460,71,19760,275,,,,,,,,
2464,71,19791,275,,,,,,,,
,,19800,,9.3,-6.659859900000001,,,,,,
2468,72,19820,274,,,,,,,,
2472,72,19838,274,,,,,,,,
2476,72,19872,275,,,,,,,,
2480,72,19896,275,,,,,,,,
,,19900,,11.4,-7.205518899999999,,,,,,
2484,72,19940,274,,,,,,,,
2488,72,19964,274,,,,,,,,
2492,72,19999,274,,,,,,,,
,,20000,,6.9,-4.104911899999999,,,,,,
2496,73,20034,274,,,,,,,,
2500,73,20064,274,,,,,,,,
2504,73,20092,274,,,,,,,,
,,20100,,8.0,-4.45478,,,,,,
2508,73,20118,273,,,,,,,,
2512,73,20154,274,,,,,,,,
2516,73,20194,274,,,,,,,,
,,20200,,7.7,-3.8243391000000004,,,,,,
2520,73,20238,274,,,,,,,,
2524,73,20275,274,,,,,,,,
,,20300,,7.7,-3.9067364999999996,,,,,,
2528,74,20312,273,,,,,,,,
2532,74,20351,273,,,,,,,,
2536,74,20383,274,,,,,,,,
,,20400,,8.6,-4.5160388,,,,,,
2540,74,20411,273,,,,,,,,
2544,74,20441,273,,,,,,,,
2548,74,20474,273,,,,,,,,
2552,74,20494,274,,,,,,,,
,,20500,,7.4,-4.1126947000000005,,,,,,
2556,75,20519,273,,,,,,,,
2560,75,20557,273,,,,,,,,
2564,75,20577,273,,,,,,,,
,,20600,,9.0,-5.118257600000001,,,,,,
2568,75,20610,273,,,,,,,,
2572,75,20640,273,,,,,,,,
2576,75,20671,273,,,,,,,,
,,20700,,8.6,-5.124166099999999,,,,,,
2580,75,20700,272,,,,,,,,
2584,75,20729,273,,,,,,,,
2588,75,20767,273,,,,,,,,
,,20800,,8.2,-4.6532295999999995,,,,,,
2592,76,20808,272,,,,,,,,
2596,76,20852,273,,,,,,,,
2600,76,20881,273,,,,,,,,
,,20900,,8.4,-5.0502842999999995,,,,,,
2604,76,20914,272,,,,,,,,
2608,76,20944,273,,,,,,,,
2612,76,20987,273,,,,,,,,
,,21000,,10.7,-8.051604699999999,,,,,,
2616,77,21004,272,,,,,,,,
2620,77,21030,272,,,,,,,,
2624,77,21065,273,,,,,,,,
,,21100,,7.5,-5.0082706,,,,,,
2628,77,21112,272,,,,,,,,
2632,77,21143,272,,,,,,,,
2636,77,21186,273,,,,,,,,
,,21200,,9.3,-5.7295756,,,,,,
2640,77,21201,272,,,,,,,,
2644,77,21235,272,,,,,,,,
2648,77,21272,273,,,,,,,,
,,21300,,8.4,-5.3181511,,,,,,
2652,78,21304,272,,,,,,,,
2656,78,21328,272,,,,,,,,
2660,78,21346,272,,,,,,,,
2664,78,21370,273,,,,,,,,
2668,78,21398,273,,,,,,,,
,,21400,,5.1,-2.2762226,,,,,,
2672,78,21415,272,,,,,,,,
2676,78,21435,272,,,,,,,,
2680,78,21451,273,,,,,,,,
2684,78,21488,273,,,,,,,,
,,21500,,11.6,-8.2168161,,,,,,
2688,78,21532,272,,,,,,,,
2692,79,21562,272,,,,,,,,
,,21600,,8.5,-5.0763798,,,,,,
2696,79,21602,272,,,,,,,,
2700,79,21629,272,,,,,,,,
2704,79,21657,272,,,,,,,,
2708,79,21692,273,,,,,,,,
,,21700,,11.4,-8.0312525,,,,,,
2712,79,21706,271,,,,,,,,
2716,79,21731,272,,,,,,,,
2720,79,21771,272,,,,,,,,
,,21800,,9.4,-5.971260200000001,,,,,,
2724,80,21801,271,,,,,,,,
2728,80,21844,272,,,,,,,,
2732,80,21884,272,,,,,,,,
,,21900,,9.9,-7.4966899,,,,,,
2736,80,21918,271,,,,,,,,
2740,80,21963,272,,,,,,,,
2744,80,21979,272,,,,,,,,
,,22000,,7.9,-4.965735400000001,,,,,,
2748,81,22007,271,,,,,,,,
2752,81,22045,271,,,,,,,,
2756,81,22067,272,,,,,,,,
,,22100,,6.6,-3.4141641999999996,,,,,,
2760,81,22114,271,,,,,,,,
2764,81,22139,272,,,,,,,,
2768,81,22175,272,,,,,,,,
2772,81,22198,272,,,,,,,,
,,22200,,10.7,-7.683704699999998,,,,,,
2776,81,22242,271,,,,,,,,
2780,81,22287,272,,,,,,,,
,,22300,,7.7,-4.8180324,,,,,,
2784,82,22329,271,,,,,,,,
2788,82,22369,272,,,,,,,,
2792,82,22393,272,,,,,,,,
,,22400,,6.7,-3.2531603000000002,,,,,,
2796,82,22425,271,,,,,,,,
2800,82,22443,271,,,,,,,,
2804,82,22471,272,,,,,,,,
,,22500,,9.2,-5.8501699,,,,,,
2808,82,22507,271,,,,,,,,
2812,82,22530,271,,,,,,,,
2816,82,22580,272,,,,,,,,
,,22600,,7.2,-4.4225408,,,,,,
2820,83,22611,271,,,,,,,,
2824,83,22644,271,,,,,,,,
2828,83,22658,272,,,,,,,,
,,22700,,10.0,-6.524948,,,,,,
2832,83,22704,271,,,,,,,,
2836,83,22730,271,,,,,,,,
2840,83,22769,271,,,,,,,,
2844,83,22793,272,,,,,,,,
,,22800,,8.9,-4.883270600000001,,,,,,
2848,84,22840,271,,,,,,,,
2852,84,22862,271,,,,,,,,
2856,84,22895,271,,,,,,,,
,,22900,,11.4,-8.377796100000001,,,,,,
2860,84,22928,270,,,,,,,,
2864,84,22952,270,,,,,,,,
2868,84,22996,271,,,,,,,,
,,23000,,3.2,-0.7129988999999999,,,,,,
2872,84,23013,271,,,,,,,,
2876,84,23048,271,,,,,,,,
2880,84,23062,271,,,,,,,,
2884,84,23080,271,,,,,,,,
,,23100,,9.5,-5.6000344,,,,,,
2888,85,23123,270,,,,,,,,
2892,85,23154,271,,,,,,,,
,,23200,,7.7,-3.8511797999999997,,,,,,
2896,85,23202,270,,,,,,,,
2900,85,23246,271,,,,,,,,
2904,85,23273,271,,,,,,,,
2908,85,23298,271,,,,,,,,
,,23300,,9.5,-5.876326700000001,,,,,,
2912,86,23321,270,,,,,,,,
2916,86,23354,270,,,,,,,,
,,23400,,8.1,-4.6108118,,,,,,
2920,86,23402,270,,,,,,,,
2924,86,23425,270,,,,,,,,
2928,86,23449,270,,,,,,,,
2932,86,23469,270,,,,,,,,
,,23500,,8.6,-5.457000799999999,,,,,,
2936,86,23505,270,,,,,,,,
2940,86,23532,270,,,,,,,,
2944,86,23565,270,,,,,,,,
,,23600,,6.0,-3.2018429,,,,,,
2948,87,23600,270,,,,,,,,
2952,87,23635,270,,,,,,,,
2956,87,23655,270,,,,,,,,
2960,87,23674,271,,,,,,,,
2964,87,23693,271,,,,,,,,
,,23700,,7.7,-3.9392382999999995,,,,,,
2968,87,23720,270,,,,,,,,
2972,87,23750,271,,,,,,,,
2976,87,23780,271,,,,,,,,
,,23800,,11.3,-7.787415899999999,,,,,,
2980,88,23819,270,,,,,,,,
2984,88,23836,270,,,,,,,,
2988,88,23854,270,,,,,,,,
2992,88,23897,271,,,,,,,,
,,23900,,5.5,-2.774844,,,,,,
2996,88,23931,270,,,,,,,,
3000,88,23966,271,,,,,,,,
3004,88,23987,271,,,,,,,,
,,24000,,9.5,-6.590233499999999,,,,,,
3008,88,24013,270,,,,,,,,
3012,88,24039,270,,,,,,,,
3016,88,24084,271,,,,,,,,
,,24100,,10.5,-6.950809099999999,,,,,,
3020,89,24108,270,,,,,,,,
3024,89,24132,270,,,,,,,,
3028,89,24147,270,,,,,,,,
3032,89,24183,270,,,,,,,,
,,24200,,9.1,-5.3178167,,,,,,
3036,89,24208,270,,,,,,,,
3040,89,24243,270,,,,,,,,
3044,89,24262,270,,,,,,,,
,,24300,,9.1,-6.5348714999999995,,,,,,
3048,89,24306,270,,,,,,,,
3052,90,24341,270,,,,,,,,
3056,90,24361,270,,,,,,,,
3060,90,24393,270,,,,,,,,
,,24400,,8.2,-4.769954,,,,,,
3064,90,24430,270,,,,,,,,
3068,90,24445,270,,,,,,,,
3072,90,24473,270,,,,,,,,
3076,90,24490,270,,,,,,,,
,,24500,,8.6,-5.0897506,,,,,,
3080,90,24523,270,,,,,,,,
3084,90,24571,270,,,,,,,,
3088,90,24584,270,,,,,,,,
,,24600,,8.3,-3.9940097999999997,,,,,,
3092,91,24616,270,,,,,,,,
3096,91,24642,270,,,,,,,,
3100,91,24662,270,,,,,,,,
3104,91,24672,270,,,,,,,,
,,24700,,8.4,-5.947000600000001,,,,,,
3108,91,24720,270,,,,,,,,
3112,91,24743,270,,,,,,,,
3116,91,24782,270,,,,,,,,
,,24800,,10.2,-6.3970113,,,,,,
3120,91,24801,269,,,,,,,,
3124,91,24842,270,,,,,,,,
3128,91,24871,270,,,,,,,,
,,24900,,8.6,-5.2369475,,,,,,
3132,92,24909,269,,,,,,,,
3136,92,24936,270,,,,,,,,
3140,92,24944,270,,,,,,,,
3144,92,24980,270,,,,,,,,
,,25000,,7.7,-4.434847100000001,,,,,,
3148,92,25009,269,,,,,,,,
3152,92,25048,270,,,,,,,,
3156,92,25076,270,,,,,,,,
,,25100,,10.0,-6.073259999999999,,,,,,
3160,93,25112,269,,,,,,,,
3164,93,25126,269,,,,,,,,
3168,93,25164,270,,,,,,,,
,,25200,,6.7,-3.3593957000000003,,,,,,
3172,93,25200,269,,,,,,,,
3176,93,25237,270,,,,,,,,
3180,93,25281,270,,,,,,,,
,,25300,,8.8,-4.697407199999999,,,,,,
3184,93,25333,270,,,,,,,,
3188,93,25376,270,,,,,,,,
,,25400,,10.2,-8.2198924,,,,,,
3192,94,25411,269,,,,,,,,
3196,94,25450,270,,,,,,,,
3200,94,25484,270,,,,,,,,
,,25500,,9.8,-6.6826971,,,,,,
3204,94,25522,269,,,,,,,,
3208,94,25560,270,,,,,,,,
3212,94,25577,270,,,,,,,,
,,25600,,9.0,-5.5891649999999995,,,,,,
3216,95,25607,269,,,,,,,,
3220,95,25646,269,,,,,,,,
3224,95,25673,270,,,,,,,,
,,25700,,7.5,-4.0333464999999995,,,,,,
3228,95,25719,269,,,,,,,,
3232,95,25751,269,,,,,,,,
3236,95,25779,270,,,,,,,,
,,25800,,9.8,-6.9367453999999995,,,,,,
3240,95,25801,269,,,,,,,,
3244,95,25834,269,,,,,,,,
3248,95,25863,269,,,,,,,,
3252,95,25889,270,,,,,,,,
,,25900,,7.2,-4.0119834,,,,,,
3256,96,25919,269,,,,,,,,
3260,96,25943,269,,,,,,,,
3264,96,25988,270,,,,,,,,
,,26000,,8.9,-5.9256538,,,,,,
3268,96,26027,269,,,,,,,,
3272,96,26081,269,,,,,,,,
3276,96,26099,270,,,,,,,,
,,26100,,9.7,-5.9882466999999995,,,,,,
3280,97,26134,269,,,,,,,,
3284,97,26170,269,,,,,,,,
,,26200,,7.6,-3.8140665,,,,,,
3288,97,26217,269,,,,,,,,
3292,97,26262,269,,,,,,,,
,,26300,,8.4,-5.4206888,,,,,,
3296,97,26308,269,,,,,,,,
3300,97,26349,269,,,,,,,,
3304,97,26372,269,,,,,,,,
,,26400,,9.1,-4.781982299999999,,,,,,
3308,98,26412,269,,,,,,,,
3312,98,26449,269,,,,,,,,
3316,98,26488,269,,,,,,,,
,,26500,,11.4,-8.2666495,,,,,,
3320,98,26520,269,,,,,,,,
3324,98,26553,269,,,,,,,,
3328,98,26581,269,,,,,,,,
,,26600,,9.0,-5.426648300000001,,,,,,
3332,98,26612,268,,,,,,,,
3336,98,26636,269,,,,,,,,
3340,99,26668,269,,,,,,,,
,,26700,,8.3,-4.9356992,,,,,,
3344,99,26706,268,,,,,,,,
3348,99,26723,268,,,,,,,,
3352,99,26765,269,,,,,,,,
,,26800,,7.6,-4.139827299999999,,,,,,
3356,99,26806,268,,,,,,,,
3360,99,26838,269,,,,,,,,
3364,99,26876,269,,,,,,,,
,,26900,,7.1,-3.7493173,,,,,,
3368,100,26910,268,,,,,,,,
3372,100,26938,269,,,,,,,,
3376,100,26970,269,,,,,,,,
3380,100,26982,269,,,,,,,,
,,27000,,9.3,-6.0696523,,,,,,
3384,100,27012,268,,,,,,,,
3388,100,27036,268,,,,,,,,
3392,100,27073,269,,,,,,,,
3396,100,27098,269,,,,,,,,
,,27100,,6.0,-2.9037246,,,,,,
3400,100,27125,268,,,,,,,,
3404,100,27144,268,,,,,,,,
3408,101,27187,269,,,,,,,,
,,27200,,9.6,-5.769692,,,,,,
3412,101,27212,268,,,,,,,,
3416,101,27249,268,,,,,,,,
3420,101,27272,268,,,,,,,,
,,27300,,5.0,-1.4735448999999998,,,,,,
3424,101,27320,268,,,,,,,,
3428,101,27340,268,,,,,,,,
3432,101,27378,269,,,,,,,,
,,27400,,3.7,-1.4167954,,,,,,
3436,101,27405,269,,,,,,,,
3440,101,27440,269,,,,,,,,
3444,101,27470,269,,,,,,,,
,,27500,,8.5,-4.167230600000001,,,,,,
3448,102,27509,268,,,,,,,,
3452,102,27525,269,,,,,,,,
3456,102,27557,269,,,,,,,,
3460,102,27588,269,,,,,,,,
,,27600,,9.0,-5.469703699999999,,,,,,
3464,102,27624,268,,,,,,,,
3468,102,27657,269,,,,,,,,
3472,102,27693,269,,,,,,,,
,,27700,,9.5,-6.119530899999999,,,,,,
3476,103,27730,268,,,,,,,,
3480,103,27749,268,,,,,,,,
3484,103,27781,269,,,,,,,,
,,27800,,5.4,-2.5471569,,,,,,
3488,103,27801,268,,,,,,,,
3492,103,27821,268,,,,,,,,
3496,103,27868,269,,,,,,,,
3500,103,27896,269,,,,,,,,
,,27900,,9.7,-6.8919372999999995,,,,,,
3504,103,27932,268,,,,,,,,
3508,103,27964,269,,,,,,,,
3512,103,27993,269,,,,,,,,
,,28000,,6.3,-3.1533705,,,,,,
3516,104,28041,269,,,,,,,,
3520,104,28060,269,,,,,,,,
3524,104,28080,269,,,,,,,,
3528,104,28099,269,,,,,,,,
,,28100,,8.1,-5.071821000000001,,,,,,
3532,104,28124,268,,,,,,,,
3536,104,28147,269,,,,,,,,
3540,104,28179,269,,,,,,,,
,,28200,,8.6,-5.619033,,,,,,
3544,105,28217,268,,,,,,,,
3548,105,28268,269,,,,,,,,
3552,105,28299,269,,,,,,,,
,,28300,,6.8,-3.1554195,,,,,,
3556,105,28332,268,,,,,,,,
3560,105,28355,269,,,,,,,,
3564,105,28388,269,,,,,,,,
,,28400,,8.1,-4.9856867000000005,,,,,,
3568,105,28408,268,,,,,,,,
3572,105,28434,268,,,,,,,,
3576,105,28462,269,,,,,,,,
3580,105,28489,269,,,,,,,,
,,28500,,9.1,-5.600282,,,,,,
3584,106,28515,268,,,,,,,,
3588,106,28547,268,,,,,,,,
3592,106,28589,268,,,,,,,,
,,28600,,10.1,-6.949082300000001,,,,,,
3596,106,28619,268,,,,,,,,
3600,106,28654,268,,,,,,,,
3604,106,28681,268,,,,,,,,
,,28700,,8.6,-3.9552190000000005,,,,,,
3608,107,28701,267,,,,,,,,
3612,107,28732,268,,,,,,,,
3616,107,28768,268,,,,,,,,
3620,107,28799,268,,,,,,,,
,,28800,,8.9,-5.5291768999999995,,,,,,
3624,107,28829,268,,,,,,,,
3628,107,28869,268,,,,,,,,
3632,107,28884,268,,,,,,,,
,,28900,,8.3,-5.1841926,,,,,,
3636,107,28911,267,,,,,,,,
3640,107,28957,268,,,,,,,,
,,29000,,10.5,-6.728419700000001,,,,,,
3644,108,29000,267,,,,,,,,
3648,108,29035,267,,,,,,,,
3652,108,29062,267,,,,,,,,
3656,108,29093,268,,,,,,,,
,,29100,,9.5,-6.1226715,,,,,,
3660,108,29121,267,,,,,,,,
3664,108,29157,267,,,,,,,,
,,29200,,9.8,-6.4950771000000005,,,,,,
3668,109,29211,267,,,,,,,,
3672,109,29230,267,,,,,,,,
3676,109,29246,267,,,,,,,,
3680,109,29280,267,,,,,,,,
,,29300,,6.8,-4.0033609,,,,,,
3684,109,29304,267,,,,,,,,
3688,109,29333,267,,,,,,,,
3692,109,29354,267,,,,,,,,
3696,109,29386,267,,,,,,,,
,,29400,,9.1,-5.2297651,,,,,,
3700,110,29402,267,,,,,,,,
3704,110,29450,267,,,,,,,,
3708,110,29468,267,,,,,,,,
,,29500,,9.2,-5.8028661999999995,,,,,,
3712,110,29512,267,,,,,,,,
3716,110,29529,267,,,,,,,,
3720,110,29566,267,,,,,,,,
,,29600,,10.6,-7.567582,,,,,,
3724,110,29612,267,,,,,,,,
3728,110,29638,267,,,,,,,,
3732,110,29673,267,,,,,,,,
,,29700,,6.0,-3.0733170000000003,,,,,,
3736,111,29706,267,,,,,,,,
3740,111,29749,267,,,,,,,,
3744,111,29769,267,,,,,,,,
3748,111,29783,267,,,,,,,,
,,29800,,8.6,-4.8574975,,,,,,
3752,111,29828,267,,,,,,,,
3756,111,29851,267,,,,,,,,
3760,111,29882,267,,,,,,,,
3764,111,29893,267,,,,,,,,
,,29900,,7.5,-3.624015300000001,,,,,,
3768,111,29936,267,,,,,,,,
3772,111,29962,267,,,,,,,,
3776,112,29998,267,,,,,,,,
,,30000,,8.6,-4.5226617,,,,,,
3780,112,30021,266,,,0.980649471282959,20,-0.2575693130493164,22.1968994140625,0.0009969874360816506,-16.595640182495117
3784,113,30064,264,,,0.9355742335319519,63,-0.8790432214736938,8.917891502380371,0.0009969831274657737,-17.986492156982422
3788,114,30096,263,,,0.9045776724815369,95,-1.3253095149993896,6.8852996826171875,0.000996979921066043,-17.65833282470703
,,30100,,5.9,-3.6105908999999996,0.9008204340934753,99,-1.3852791786193848,8.729715347290039,0.0009969795202668017,-17.767810821533203
3792,115,30152,260,,,0.8538214564323425,151,-2.0960869789123535,8.46640396118164,0.0009969743098913277,-17.184598922729492
3796,116,30198,259,,,0.8146857023239136,197,-2.7106800079345703,8.14277458190918,0.0009969697007357224,-17.65967559814453
,,30200,,7.7,-4.6139115,0.8130306005477905,199,-2.7173984050750732,8.477029800415039,0.0009969695003381358,-17.376218795776367
3800,118,30254,256,,,0.7697309255599976,253,-3.4804677963256836,12.0707368850708,0.0009969640896185289,-17.30555534362793
3804,118,30286,255,,,0.7452015280723572,285,-3.897810459136963,8.51858139038086,0.0009969608832800256,-17.442184448242188
,,30300,,9.4,-6.942663100000002,0.7347379326820374,299,-4.071928977966309,9.311136245727539,0.000996959480510173,-17.196346282958984
3808,119,30325,253,,,0.71644526720047,324,-4.408689498901367,8.532065391540527,0.0009969569755689173,-16.63526153564453
3812,120,30370,251,,,0.6846702098846436,369,-5.056571006774902,11.041522026062012,0.0009969524666905171,-17.855327606201172
,,30400,,11.3,-7.6969128,0.664320707321167,399,-5.426828384399414,8.755062103271484,0.0009969494607829127,-17.84849739074707
3816,122,30426,248,,,0.6471797823905945,425,-5.820959091186523,10.946922302246094,0.0009969468556703198,-17.39881134033203
3820,123,30469,247,,,0.6197999715805054,468,-6.3601555824279785,14.1192045211792,0.0009969425472298166,-17.276641845703125
3824,123,30495,246,,,0.6038389205932617,494,-6.672558784484863,12.421100616455078,0.0009969399421352896,-17.350444793701172
,,30500,,7.6,-4.0954459,0.6008155345916748,499,-6.78831672668457,13.030101776123047,0.000996939441156353,-16.955591201782227
3828,124,30536,244,,,0.5795245170593262,535,-7.189746856689453,15.546805381774902,0.0009969358341154432,-17.8355712890625
3832,125,30567,243,,,0.5617939233779907,566,-7.638456344604492,11.540655136108398,0.0009969327280628952,-17.777103424072266
,,30600,,10.1,-6.734830499999999,0.5435205698013306,599,-8.038305282592773,13.656187057495117,0.0009969294216304939,-18.367948532104492
3836,126,30610,241,,,0.5381056666374207,609,-8.215597152709961,13.313940048217773,0.0009969284196834464,-17.77932357788086
3840,127,30645,240,,,0.5195650458335876,644,-8.718742370605469,14.82848834991455,0.0009969249128767104,-17.46527862548828
3844,128,30679,239,,,0.5021746158599854,678,-9.121274948120117,15.214668273925781,0.0009969215062762644,-17.687259674072266
,,30700,,12.7,-9.9025969,0.491731733083725,699,-9.373035430908203,17.486318588256836,0.0009969194022053337,-17.49310874938965
3848,129,30735,236,,,0.4748068153858185,734,-9.84107494354248,14.761117935180664,0.0009969158954303175,-18.14169692993164
3852,130,30781,235,,,0.4534437954425812,780,-10.47752857208252,15.365670204162598,0.0009969112865447706,-17.486541748046875
,,30800,,10.8,-7.2360313000000005,0.4449026882648468,799,-10.766435623168945,17.07938003540039,0.0009969093828808714,-17.8531436920166
3856,131,30807,234,,,0.4417937695980072,806,-10.876232147216797,18.730289459228516,0.0009969086815319302,-17.30219841003418
3860,132,30859,233,,,0.41938868165016174,858,-11.522191047668457,21.602312088012695,0.0009969034715266707,-17.214126586914062
,,30900,,8.6,-5.4250562,0.4025513827800751,899,-11.993579864501953,12.754463195800781,0.0009968993636571063,-17.114078521728516
3864,133,30915,231,,,0.3965591788291931,914,-12.281980514526367,16.173797607421875,0.0009968978607822266,-17.379112243652344
3868,134,30943,230,,,0.385600209236145,942,-12.641200065612793,16.26837158203125,0.0009968950554218464,-16.91143035888672
3872,134,30976,229,,,0.3730747401714325,975,-13.012943267822266,14.479448318481445,0.0009968917491143905,-16.989280700683594
,,31000,,6.7,-3.892466,0.3642441928386688,999,-13.333041191101074,16.247787475585938,0.0009968893445340373,-17.2083740234375
3876,135,31019,228,,,0.3574017584323883,1018,-13.551349639892578,17.601131439208984,0.0009968874409120377,-17.054218292236328
3880,136,31062,227,,,0.34237492084503174,1061,-14.122528076171875,20.17850685119629,0.0009968831327283037,-15.155399322509766
3884,137,31095,226,,,0.3312785029411316,1094,-14.579011917114258,17.358562469482422,0.0009968798264603906,-15.597570419311523
,,31100,,8.5,-5.0781563,0.32963088154792786,1099,-14.66102409362793,16.468801498413086,0.0009968793255116632,-15.994104385375977
3888,138,31134,224,,,0.3186303973197937,1133,-15.277069091796875,15.451753616333008,0.0009968759190669943,-16.06305694580078
3892,139,31190,223,,,0.30128148198127747,1189,-15.965301513671875,17.586944580078125,0.0009968703084776201,-15.150822639465332
,,31200,,8.1,-4.5350876,0.298287034034729,1199,-16.02646827697754,16.839401245117188,0.0009968693065899833,-15.579425811767578
3896,140,31239,221,,,0.2868902087211609,1238,-16.4910945892334,17.92948341369629,0.000996865399237821,-15.4996337890625
3900,141,31261,221,,,0.2806636095046997,1260,-16.871545791625977,16.005077362060547,0.000996863195097204,-14.794414520263672
3904,141,31284,220,,,0.27429547905921936,1283,-16.98430061340332,15.445966720581055,0.0009968608907735877,-14.824433326721191
,,31300,,10.6,-5.987945,0.2699506878852844,1299,-17.39411163330078,19.38714599609375,0.0009968592877689965,-14.958873748779297
3908,143,31328,219,,,0.26250597834587097,1327,-17.71363067626953,15.23123550415039,0.0009968564825171642,-13.893585205078125
3912,144,31384,217,,,0.2482353150844574,1383,-18.481494903564453,16.029537200927734,0.0009968508720371823,-13.888745307922363
,,31400,,6.3,-3.4735565,0.24430376291275024,1399,-18.68422508239746,13.55194091796875,0.0009968492690487015,-13.601097106933594
3916,145,31427,216,,,0.2378028780221939,1426,-19.00948715209961,14.976707458496094,0.0009968465640114855,-13.814775466918945
3920,146,31475,215,,,0.2266731858253479,1474,-19.57074737548828,11.559978485107422,0.000996841755074559,-13.25642204284668
,,31500,,6.7,-3.6449559999999996,0.22108575701713562,1499,-19.968570709228516,11.436809539794922,0.0009968392504290976,-12.85036849975586
3924,147,31503,214,,,0.22042496502399445,1502,-20.024370193481445,15.005657196044922,0.0009968389498720652,-13.167549133300781
3928,147,31530,213,,,0.2145651876926422,1529,-20.530197143554688,8.669486045837402,0.000996836244862851,-13.138986587524414
3932,148,31566,212,,,0.20699317753314972,1565,-20.795473098754883,13.199979782104492,0.000996832638195317,-12.019710540771484
,,31600,,12.1,-8.478441,0.20008766651153564,1599,-21.326881408691406,11.695119857788086,0.0009968292319101836,-12.313555717468262
3936,149,31615,211,,,0.19711610674858093,1614,-21.61048126220703,12.2724027633667,0.000996827729141031,-11.814850807189941
3940,150,31668,210,,,0.18696090579032898,1667,-22.344018936157227,16.05386734008789,0.0009968224193748357,-11.296195983886719
,,31700,,9.0,-5.6063075,0.181089848279953,1699,-22.793567657470703,9.524823188781738,0.0009968192134919586,-12.185087203979492
