time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
,,4000,,11.0,-8.3013539,,,,,,
516,11,4040,361,,,,,,,,
520,11,4071,363,,,,,,,,
524,11,4093,364,,,,,,,,
,,4100,,12.1,-8.7630235,,,,,,
528,11,4116,352,,,,,,,,
532,11,4122,352,,,,,,,,
536,11,4174,356,,,,,,,,
,,4200,,8.7,-5.1143908,,,,,,
540,12,4206,348,,,,,,,,
544,12,4239,350,,,,,,,,
548,12,4252,351,,,,,,,,
552,12,4274,352,,,,,,,,
,,4300,,8.0,-5.1826667,,,,,,
556,12,4305,346,,,,,,,,
560,12,4325,348,,,,,,,,
564,12,4368,350,,,,,,,,
,,4400,,5.1,-2.3033271,,,,,,
568,12,4410,348,,,,,,,,
572,12,4447,350,,,,,,,,
576,12,4480,352,,,,,,,,
,,4500,,6.6,-2.9261527000000003,,,,,,
580,12,4512,347,,,,,,,,
584,13,4529,347,,,,,,,,
588,13,4569,350,,,,,,,,
592,13,4589,351,,,,,,,,
,,4600,,9.8,-6.176379900000001,,,,,,
596,13,4622,344,,,,,,,,
600,13,4669,347,,,,,,,,
604,13,4697,349,,,,,,,,
,,4700,,7.2,-4.5088364,,,,,,
608,13,4722,343,,,,,,,,
612,13,4748,344,,,,,,,,
616,13,4786,346,,,,,,,,
,,4800,,10.6,-5.7170067,,,,,,
620,14,4804,338,,,,,,,,
624,14,4830,339,,,,,,,,
628,14,4846,340,,,,,,,,
632,14,4870,341,,,,,,,,
,,4900,,9.8,-6.0469735,,,,,,
636,14,4905,335,,,,,,,,
640,14,4948,337,,,,,,,,
644,14,4965,338,,,,,,,,
648,14,4989,339,,,,,,,,
,,5000,,8.2,-3.9002349,,,,,,
652,15,5019,333,,,,,,,,
656,15,5059,335,,,,,,,,
660,15,5098,338,,,,,,,,
,,5100,,10.2,-6.1577907,,,,,,
664,15,5128,331,,,,,,,,
668,15,5164,332,,,,,,,,
672,15,5196,334,,,,,,,,
,,5200,,9.7,-5.6852689000000005,,,,,,
676,15,5236,328,,,,,,,,
680,15,5259,329,,,,,,,,
684,15,5279,330,,,,,,,,
688,15,5292,331,,,,,,,,
,,5300,,7.6,-3.8763777999999993,,,,,,
692,16,5345,326,,,,,,,,
696,16,5378,328,,,,,,,,
,,5400,,7.2,-4.2572873,,,,,,
700,16,5434,324,,,,,,,,
704,16,5463,325,,,,,,,,
708,16,5478,326,,,,,,,,
,,5500,,10.8,-6.717005,,,,,,
712,17,5524,321,,,,,,,,
716,17,5567,323,,,,,,,,
720,17,5575,323,,,,,,,,
,,5600,,8.8,-5.0614533,,,,,,
724,17,5606,318,,,,,,,,
728,17,5625,319,,,,,,,,
732,17,5647,320,,,,,,,,
736,17,5667,321,,,,,,,,
740,17,5695,322,,,,,,,,
,,5700,,8.2,-5.739278,,,,,,
744,18,5733,318,,,,,,,,
748,18,5777,320,,,,,,,,
,,5800,,7.2,-4.4034526,,,,,,
752,18,5811,316,,,,,,,,
756,18,5854,318,,,,,,,,
760,18,5880,319,,,,,,,,
,,5900,,8.9,-4.6836748,,,,,,
764,18,5913,316,,,,,,,,
768,18,5953,317,,,,,,,,
772,18,5981,318,,,,,,,,
,,6000,,6.3,-3.5114537999999995,,,,,,
776,19,6012,315,,,,,,,,
780,19,6049,317,,,,,,,,
784,19,6082,318,,,,,,,,
,,6100,,11.0,-7.797541700000001,,,,,,
788,19,6109,313,,,,,,,,
792,19,6130,313,,,,,,,,
796,19,6170,315,,,,,,,,
,,6200,,8.9,-5.841330000000001,,,,,,
800,19,6224,312,,,,,,,,
804,19,6268,314,,,,,,,,
808,19,6297,315,,,,,,,,
,,6300,,8.5,-4.8337002,,,,,,
812,20,6313,310,,,,,,,,
816,20,6333,311,,,,,,,,
820,20,6369,312,,,,,,,,
824,20,6389,313,,,,,,,,
,,6400,,8.8,-4.5661408,,,,,,
828,20,6426,310,,,,,,,,
832,20,6455,311,,,,,,,,
836,20,6492,313,,,,,,,,
,,6500,,7.1,-3.6787348,,,,,,
840,21,6526,310,,,,,,,,
844,21,6546,310,,,,,,,,
848,21,6582,312,,,,,,,,
,,6600,,10.2,-5.869249999999999,,,,,,
852,21,6623,308,,,,,,,,
856,21,6669,310,,,,,,,,
,,6700,,7.3,-3.7073179000000005,,,,,,
860,21,6705,307,,,,,,,,
864,21,6726,307,,,,,,,,
868,21,6750,308,,,,,,,,
872,21,6786,309,,,,,,,,
,,6800,,8.4,-5.7042551,,,,,,
876,22,6820,306,,,,,,,,
880,22,6854,307,,,,,,,,
884,22,6884,308,,,,,,,,
,,6900,,8.6,-5.191170100000001,,,,,,
888,22,6924,306,,,,,,,,
892,22,6951,307,,,,,,,,
896,22,6968,307,,,,,,,,
,,7000,,10.5,-6.4904216,,,,,,
900,23,7005,303,,,,,,,,
904,23,7034,304,,,,,,,,
908,23,7053,305,,,,,,,,
912,23,7084,306,,,,,,,,
,,7100,,9.7,-5.887988399999999,,,,,,
916,23,7111,302,,,,,,,,
