#{"t_start": 1735009299.0923617, "env_id": "GraspEnv_v3"}
r,l,t
-7.412667,12,1.310119
-11.905899,14,1.335119
-7.137351,14,1.359126
-4.497442,12,1.37879
-12.954222,14,1.403788
0.830887,1,1.406777
-5.435703,14,1.429779
-0.756181,3,1.434777
-3.355215,8,1.448783
-7.457967,14,1.470827
-3.413494,7,1.53808
-4.880997,8,1.553083
-1.228615,4,1.56113
-1.057272,5,1.570115
-7.054985,14,1.593273
-4.857355,10,1.609258
-1.918986,5,1.61828
-0.403221,3,1.623293
-6.37875,14,1.646306
-3.787127,12,1.667317
-0.165207,3,1.728487
0.660682,2,1.733488
-1.172628,4,1.742487
-10.358095,14,1.766597
-3.840712,11,1.784703
0.818332,1,1.78771
0.189914,2,1.791694
-0.419468,3,1.797694
-13.563325,14,1.821694
-5.260053,11,1.840701
-12.619068,14,1.915094
-3.418442,10,1.934093
-1.642558,4,1.942085
-1.274845,4,1.95609
-2.18184,5,1.966141
-9.209505,14,1.989804
-1.652504,4,1.996822
0.192152,3,2.00281
0.877182,1,2.005815
-1.307048,7,2.01784
-1.41377,4,2.079262
-1.064202,5,2.089236
0.837375,1,2.091237
-9.164787,14,2.11623
0.984447,1,2.119251
-10.882647,14,2.150236
0.837949,1,2.153243
-11.829208,14,2.175933
0.941578,1,2.179004
-0.712061,4,2.185979
-12.211983,14,2.265088
0.820626,1,2.26808
-2.341287,5,2.277235
-8.641644,14,2.301216
-12.008586,14,2.324207
-2.768801,7,2.336206
-10.852678,14,2.366263
0.813076,1,2.372304
-4.685033,11,2.39242
-12.476531,14,2.416423
-6.192929,11,2.473464
-12.265495,14,2.497447
-12.246559,14,2.521454
-12.858207,14,2.547439
-1.81579,6,2.558412
-6.509158,12,2.580079
0.833104,1,2.583088
-3.826267,8,2.597085
-2.550462,8,2.613078
0.715942,2,2.618085
-1.314551,5,2.668149
-10.711746,14,2.693763
-8.153321,14,2.716739
-5.849621,12,2.737743
0.951894,1,2.740743
-1.56072,6,2.750735
-7.979069,14,2.773838
-8.066967,14,2.796919
-0.435734,3,2.802926
-7.167502,14,2.827927
-8.993459,14,2.89569
-0.199662,3,2.902701
-0.289592,4,2.90972
-0.248216,3,2.916697
-2.53485,7,2.928702
0.163422,2,2.933691
-9.774006,14,2.957698
-7.693974,12,2.982371
0.88892,1,2.985384
-7.186251,12,3.00538
0.857125,1,3.049444
-10.525355,14,3.078564
-13.420307,14,3.102562
-2.609741,7,3.11556
-10.842567,14,3.138569
-11.355684,14,3.161571
-11.460786,14,3.184788
-13.887562,14,3.206769
-3.454139,9,3.221764
-13.828104,14,3.243753
0.873132,1,3.284487
-9.343787,14,3.310476
0.999683,1,3.314469
-10.85746,14,3.340513
-6.83251,13,3.36247
-3.097056,6,3.375524
-13.394564,14,3.401133
-0.222088,3,3.407135
-0.185289,3,3.414148
-2.558679,5,3.424183
-7.929897,14,3.492545
-13.508419,14,3.521147
-7.751138,14,3.546176
0.975521,1,3.550147
-5.369152,9,3.566236
-9.033637,14,3.593802
-1.032163,5,3.602799
-10.009747,14,3.627811
-7.579355,14,3.650795
-12.431116,14,3.678845
0.853075,1,3.755063
-11.867633,14,3.781838
-12.938891,14,3.805842
-12.332062,14,3.831573
-10.407562,14,3.858572
0.382903,2,3.862579
-4.921877,9,3.879172
-0.002789,4,3.88622
0.864063,1,3.88922
-3.154354,9,3.905214
-1.048526,4,3.950265
0.850395,1,3.953224
-9.743293,14,3.979275
-12.220276,14,4.00396
-12.014738,14,4.03192
-4.870652,11,4.051907
-0.393895,5,4.061905
0.470908,2,4.065957
0.228927,2,4.069956
-12.310473,14,4.093509
-1.184522,4,4.221613
-13.201997,14,4.247628
-1.32315,4,4.25462
0.936363,1,4.257624
-1.098262,4,4.264717
-0.915107,4,4.276786
-12.387406,14,4.30603
-2.595379,7,4.320013
-4.793651,9,4.336016
0.841412,1,4.339009
0.887743,1,4.377032
0.359829,2,4.382682
0.87028,1,4.385683
-11.613015,14,4.409804
-1.290434,4,4.420806
-10.025886,14,4.445804
-10.413036,14,4.469881
-2.349555,6,4.482239
0.855225,1,4.485244
-3.904262,7,4.49826
-1.180796,6,4.553185
-1.728283,7,4.569289
0.880607,1,4.572259
0.104176,3,4.579871
-0.289262,4,4.587947
-0.201711,3,4.593979
0.969746,1,4.596947
0.944396,1,4.60098
0.970995,1,4.603951
-3.038604,7,4.617963
0.900235,1,4.671821
0.59117,2,4.676767
-12.257648,14,4.701405
-8.51257,14,4.726411
-10.83739,14,4.751403
-1.765253,6,4.76342
-5.675302,10,4.780523
-8.940012,14,4.803632
-10.907785,14,4.826622
-2.889163,8,4.840633
-10.731297,14,4.914223
0.958612,1,4.917216
0.854789,1,4.92021
-10.589707,14,4.944217
0.947854,1,4.947227
-0.052483,3,4.95422
0.97909,1,4.957216
-5.07546,8,4.971267
-0.720009,3,4.976274
-1.945949,8,4.991841
0.949739,1,5.035843
-0.90105,4,5.04485
-9.425219,14,5.067876
-10.394765,14,5.09513
-5.262351,9,5.111123
-10.22177,14,5.13615
0.990374,1,5.13913
-1.749409,6,5.150126
-8.069931,12,5.170165
-12.956144,14,5.19577
-13.08709,14,5.282554
-11.531016,14,5.306565
-1.189445,7,5.319593
-8.386039,14,5.350543
-7.846252,14,5.373584
0.291693,2,5.378584
-11.943808,14,5.402692
0.888139,1,5.405683
-8.131587,11,5.423694
-12.516446,14,5.44673
0.933003,1,5.51627
-10.932736,14,5.543113
-2.407057,7,5.556472
-9.455361,14,5.580555
-1.926816,8,5.596183
-4.638569,9,5.612182
0.047475,4,5.620203
-4.728524,9,5.637206
-10.010296,14,5.660179
0.002204,4,5.668271
0.964135,1,5.70646
-10.75544,14,5.730467
-9.585899,14,5.754461
-11.901135,14,5.781498
0.871271,1,5.785108
0.494047,2,5.789103
-8.542954,14,5.813105
0.683668,2,5.818141
-8.527261,14,5.841099
-2.907102,8,5.862112
-1.579531,7,6.013885
-12.267339,14,6.059797
-1.517934,5,6.083365
-12.864088,14,6.131415
-12.251678,14,6.189697
-10.200134,14,6.244702
-4.941742,12,6.279752
-1.337334,8,6.302882
-10.738426,14,6.357889
0.812794,1,6.364889
-3.006708,7,6.477175
-8.199458,14,6.522436
-6.870362,14,6.569436
-12.275367,14,6.613201
-0.195316,3,6.625204
-10.122774,14,6.670181
-12.849475,14,6.716782
-9.552603,12,6.7568
-4.077566,6,6.776878
-8.527822,14,6.82265
-0.35698,4,6.930783
-13.973382,14,6.976912
-7.486198,14,7.021479
0.26584,3,7.032479
-5.932617,9,7.06348
-7.317008,14,7.108362
0.868677,1,7.11338
-0.204968,3,7.12538
0.328575,2,7.133364
-11.809279,14,7.17942
0.990229,1,7.277204
-2.231917,5,7.297774
0.235301,2,7.305767
-2.877033,7,7.328773
-11.423858,14,7.380833
-2.321707,5,7.397938
-1.056142,4,7.412936
-13.406048,14,7.46093
-10.453477,14,7.506104
-9.361748,14,7.551104
0.109653,2,7.642801
-2.153968,6,7.663801
-10.841864,14,7.713443
-11.623638,14,7.76544
0.047943,3,7.777492
0.895319,1,7.782483
0.546664,2,7.789596
-3.36886,8,7.821596
-8.350746,14,7.870583
-10.806326,14,7.914775
0.828122,1,8.001684
-10.684355,14,8.048684
-9.695101,14,8.095308
-0.733578,6,8.115301
-0.513736,4,8.130309
-8.033309,14,8.179364
-6.383902,14,8.22351
-9.637829,14,8.270585
-10.540739,14,8.316857
-10.62546,14,8.360933
-1.286485,7,8.472802
0.866942,1,8.478935
-0.623125,5,8.497021
-11.177589,14,8.544014
-1.039861,6,8.566015
-3.137683,9,8.596227
0.330983,2,8.60523
-11.493427,14,8.652242
-12.703152,14,8.696398
-13.444762,14,8.734412
-11.240233,14,8.856929
0.946979,1,8.861935
-11.768172,14,8.907692
-7.382529,14,8.952688
0.426325,2,8.960691
-0.769625,3,8.972689
-1.095958,4,8.986838
-13.531018,14,9.030608
-3.627259,10,9.063608
-0.51943,3,9.074746
0.815082,1,9.1455
-5.577835,9,9.180562
0.937605,1,9.185565
-10.973826,14,9.231254
0.971844,1,9.23525
-10.891686,14,9.280275
-1.487509,5,9.293491
-0.553126,3,9.300491
-12.148698,14,9.342495
0.509057,2,9.352505
-8.897259,14,9.473397
-5.298956,14,9.519041
-13.195206,14,9.563047
-13.115067,14,9.598689
0.493254,2,9.602689
0.395186,2,9.606763
-10.684453,14,9.649768
-1.331791,4,9.663764
-0.853149,4,9.677904
-0.565885,4,9.691637
-9.436296,14,9.827362
0.167465,2,9.836353
-5.182999,14,9.883412
-1.477717,4,9.897979
-4.18395,9,9.927989
0.687432,2,9.934979
-8.056906,14,9.958988
-2.199781,8,9.972994
-12.829657,14,10.015129
0.269033,2,10.024119
-12.722668,14,10.149988
-10.282878,14,10.195606
-8.648181,14,10.239613
-8.589702,14,10.284652
-5.522897,10,10.316808
-1.411284,4,10.330802
-13.238103,14,10.377875
-3.417044,8,10.406532
-9.830855,14,10.45251
-11.396911,14,10.492085
0.86858,1,10.578183
-1.955354,7,10.607323
-13.275592,14,10.652334
-13.30104,14,10.696523
-11.862985,14,10.740524
-0.086702,2,10.750539
-0.146092,3,10.761533
-12.512489,14,10.805511
-11.451288,14,10.850444
0.933214,1,10.85544
-5.76605,12,10.975709
-12.050026,14,11.022365
-11.492515,14,11.066358
-2.569737,5,11.076359
-9.486236,14,11.101575
-8.581979,14,11.127573
-10.050922,14,11.15558
-1.774381,6,11.175575
-11.146828,14,11.22076
0.411448,2,11.229769
0.606988,2,11.323734
-5.400398,9,11.357774
-4.59703,10,11.391742
-12.722166,14,11.441182
-12.006606,14,11.489223
-0.836726,3,11.500834
-11.613368,14,11.528829
-8.904198,14,11.553842
-10.868108,14,11.578834
