#{"t_start": 1734950681.6601818, "env_id": "GraspEnv_v3"}
r,l,t--12.744026,14,2.629305
-10.725175,14,2.649309
-4.675509,10,2.666356
-1.432979,5,2.673952
-4.19202,9,2.687961
-7.73879,14,2.710976
-9.974442,14,2.730954
-4.761706,9,2.743964
-11.419551,14,2.766006
-1.669534,5,2.775314
-12.271646,14,2.965059
-9.067676,14,2.987324
-2.67552,5,2.995326
-2.468216,4,3.00332
-1.622678,5,3.011317
-1.336381,5,3.019358
0.029489,4,3.026328
-8.5787,14,3.045352
-12.050228,14,3.065359
-9.418336,14,3.088554
-6.962155,12,3.268746
-8.664364,14,3.290972
-9.141326,14,3.311961
-6.470441,14,3.331927
-0.582485,4,3.338932
-0.97103,4,3.344921
-1.578844,5,3.353923
-9.516796,14,3.376616
-1.616785,5,3.38458
0.611167,8,3.396579
0.289872,2,3.562289
-8.659818,14,3.583402
0.123155,2,3.587401
-9.270618,14,3.607403
0.895257,1,3.610402
-0.51211,3,3.616396
-0.6429,3,3.621395
-0.587874,3,3.626395
0.20184,2,3.630395
-3.052477,10,3.646393
-2.402709,4,3.81555
-1.193625,7,3.826565
-3.467803,6,3.836565
-2.636962,6,3.846563
-0.158165,3,3.852561
-4.885588,9,3.866591
-3.253727,7,3.876826
-1.215049,4,3.88484
-12.046986,14,3.90484
0.926922,1,3.90784
-11.923864,14,4.088993
-6.853354,14,4.111995
0.888588,1,4.114007
-1.964178,5,4.123002
-6.616312,14,4.144008
-13.515372,14,4.167043
-1.397783,5,4.176152
-1.850221,3,4.182152
-3.888484,11,4.200144
-2.99263,7,4.212182
-11.327678,14,4.38859
-0.783644,6,4.399564
0.873891,1,4.40257
-0.13811,3,4.408566
0.955966,1,4.410566
-1.007112,7,4.422566
-13.179623,14,4.443566
0.796909,7,4.454596
0.316512,9,4.469636
-1.510832,5,4.478214
0.270757,2,4.650903
-10.004751,14,4.674956
-1.001191,2,4.679129
-9.456865,14,4.705148
-0.661481,4,4.713146
-2.204941,6,4.723129
-5.576043,8,4.735136
-8.09143,14,4.756162
-12.013715,14,4.779383
-2.106424,6,4.790351
-9.812424,14,4.973693
-2.954016,7,4.985968
-12.048643,14,5.007925
-0.026912,2,5.011958
-8.242019,14,5.03494
-0.507263,3,5.039932
-8.765996,14,5.060937
