eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/std,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
7.9,-4.2282242,8500,,,,,,,,,,,,,,,,
11.0,-6.529059600000001,8600,,,,,,,,,,,,,,,,
7.7,-3.306658499999999,8700,,,,,,,,,,,,,,,,
7.7,-4.0126655,8800,,,,,,,,,,,,,,,,
7.3,-3.571236700000001,8900,,,,,,,,,,,,,,,,
8.8,-5.458465400000001,9000,,,,,,,,,,,,,,,,
7.8,-4.075237100000001,9100,,,,,,,,,,,,,,,,
9.7,-6.1443758,9200,,,,,,,,,,,,,,,,
9.1,-5.2884309,9300,,,,,,,,,,,,,,,,
9.0,-6.4727469000000015,9400,,,,,,,,,,,,,,,,
12.8,-9.627235899999999,9500,,,,,,,,,,,,,,,,
6.8,-3.4818478000000006,9600,,,,,,,,,,,,,,,,
7.9,-4.0953105999999995,9700,,,,,,,,,,,,,,,,
8.4,-5.253543499999999,9800,,,,,,,,,,,,,,,,
7.4,-3.9195637,9900,,,,,,,,,,,,,,,,
9.7,-5.6289354000000005,10000,,,,,,,,,,,,,,,,
8.3,-4.532235,10100,,,,,,,,,,,,,,,,
9.1,-5.562655799999999,10200,,,,,,,,,,,,,,,,
,,10240,8.31,38,5,-4.9050622200000005,268,,,,,,,,,,,
